tweet_id,hashtags,mentions,uppercase,nonalpha,urls,len,numbers,topic_id,favorite_count,retweet_count,spam
843926831871000580,1,1,6,8,0,140,0,0,0.0,1,y
843785964120129536,0,1,5,63,0,139,14,0,0.0,2070,y
843631012194213889,0,1,6,3,0,44,1,0,0.0,1,n
843450340297097216,0,1,4,6,0,140,0,0,0.0,1,y
842564611429859328,0,0,1,1,0,11,0,0,0.0,0,y
842111275949793280,0,1,7,8,1,36,0,0,0.0,202,y
842110969165807616,0,1,7,9,1,140,0,0,0.0,389,y
842004078469210112,0,1,0,4,0,18,0,0,0.0,0,y
842001915877687296,0,1,2,3,0,96,0,0,0.0,4,y
841760687043026945,0,1,8,7,1,50,0,0,0.0,0,n
