=== Run information ===

Scheme:       weka.classifiers.trees.RandomForest -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1
Relation:     featureVectorsDumpCaraotaDigitalCNNELaPatilla_cluster_density-weka.filters.unsupervised.attribute.RenameNominalValues-R11-Ncluster2:y,cluster1:n-weka.filters.unsupervised.attribute.SortLabels-Rfirst-last-SNON-CASE-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst
Instances:    3000
Attributes:   11
              tweet_id
              hashtags
              mentions
              uppercase
              nonalpha
              urls
              len
              numbers
              favorite_count
              retweet_count
              cluster
Test mode:    split 70.0% train, remainder test

=== Classifier model (full training set) ===

RandomForest

Bagging with 100 iterations and base learner

weka.classifiers.trees.RandomTree -K 0 -M 1.0 -V 0.001 -S 1 -do-not-check-capabilities

Time taken to build model: 1.75 seconds

=== Predictions on test split ===

inst#,actual,predicted,error,prediction
1,1:n,1:n,,0.751
2,2:y,2:y,,0.513
3,1:n,1:n,,0.75
4,1:n,1:n,,0.595
5,2:y,1:n,+,0.561
6,1:n,1:n,,0.749
7,2:y,2:y,,0.632
8,1:n,1:n,,0.602
9,2:y,2:y,,0.659
10,1:n,1:n,,0.748
11,2:y,2:y,,0.704
12,1:n,1:n,,0.751
13,2:y,2:y,,0.701
14,1:n,1:n,,0.753
15,2:y,2:y,,0.721
16,1:n,1:n,,0.717
17,2:y,2:y,,0.695
18,2:y,2:y,,0.63
19,2:y,1:n,+,0.554
20,1:n,1:n,,0.746
21,1:n,1:n,,0.746
22,1:n,1:n,,0.747
23,1:n,1:n,,0.748
24,1:n,1:n,,0.746
25,2:y,2:y,,0.711
26,1:n,1:n,,0.749
27,1:n,1:n,,0.621
28,2:y,1:n,+,0.537
29,1:n,1:n,,0.585
30,1:n,1:n,,0.727
31,2:y,2:y,,0.692
32,1:n,1:n,,0.747
33,1:n,1:n,,0.73
34,1:n,1:n,,0.747
35,2:y,2:y,,0.545
36,2:y,2:y,,0.519
37,1:n,1:n,,0.74
38,2:y,2:y,,0.711
39,1:n,1:n,,0.751
40,2:y,2:y,,0.642
41,1:n,1:n,,0.746
42,2:y,2:y,,0.689
43,2:y,1:n,+,0.509
44,1:n,1:n,,0.751
45,2:y,2:y,,0.56
46,1:n,1:n,,0.747
47,2:y,2:y,,0.576
48,2:y,2:y,,0.718
49,2:y,2:y,,0.575
50,2:y,2:y,,0.72
51,2:y,2:y,,0.69
52,2:y,2:y,,0.711
53,2:y,2:y,,0.589
54,2:y,2:y,,0.64
55,2:y,2:y,,0.625
56,1:n,1:n,,0.751
57,2:y,2:y,,0.721
58,2:y,2:y,,0.695
59,2:y,2:y,,0.563
60,2:y,2:y,,0.711
61,1:n,1:n,,0.734
62,1:n,1:n,,0.746
63,1:n,1:n,,0.751
64,2:y,2:y,,0.686
65,1:n,1:n,,0.564
66,2:y,2:y,,0.659
67,2:y,2:y,,0.509
68,1:n,1:n,,0.748
69,1:n,1:n,,0.751
70,1:n,1:n,,0.741
71,2:y,2:y,,0.694
72,1:n,1:n,,0.752
73,1:n,1:n,,0.747
74,1:n,1:n,,0.751
75,1:n,1:n,,0.746
76,2:y,2:y,,0.711
77,1:n,1:n,,0.751
78,1:n,1:n,,0.746
79,2:y,2:y,,0.611
80,2:y,1:n,+,0.521
81,2:y,2:y,,0.519
82,2:y,2:y,,0.689
83,2:y,2:y,,0.718
84,1:n,1:n,,0.601
85,2:y,1:n,+,0.511
86,1:n,1:n,,0.596
87,2:y,2:y,,0.524
88,1:n,1:n,,0.726
89,1:n,1:n,,0.741
90,1:n,1:n,,0.661
91,2:y,2:y,,0.711
92,2:y,2:y,,0.55
93,1:n,1:n,,0.747
94,2:y,2:y,,0.644
95,1:n,1:n,,0.751
96,1:n,1:n,,0.751
97,1:n,1:n,,0.751
98,1:n,1:n,,0.743
99,2:y,2:y,,0.721
100,1:n,1:n,,0.547
101,1:n,1:n,,0.752
102,2:y,2:y,,0.542
103,2:y,2:y,,0.628
104,2:y,2:y,,0.66
105,1:n,1:n,,0.751
106,2:y,2:y,,0.711
107,1:n,1:n,,0.601
108,1:n,1:n,,0.746
109,2:y,2:y,,0.601
110,1:n,1:n,,0.751
111,1:n,1:n,,0.749
112,2:y,1:n,+,0.506
113,2:y,2:y,,0.641
114,1:n,1:n,,0.746
115,2:y,2:y,,0.721
116,2:y,2:y,,0.721
117,2:y,2:y,,0.681
118,1:n,1:n,,0.746
119,2:y,2:y,,0.626
120,2:y,2:y,,0.644
121,2:y,2:y,,0.677
122,2:y,2:y,,0.721
123,1:n,1:n,,0.746
124,1:n,1:n,,0.748
125,2:y,2:y,,0.689
126,2:y,2:y,,0.606
127,1:n,1:n,,0.753
128,2:y,2:y,,0.72
129,2:y,2:y,,0.554
130,1:n,1:n,,0.747
131,1:n,1:n,,0.592
132,2:y,2:y,,0.711
133,1:n,1:n,,0.576
134,2:y,2:y,,0.72
135,1:n,1:n,,0.746
136,1:n,1:n,,0.752
137,1:n,1:n,,0.751
138,2:y,2:y,,0.596
139,1:n,1:n,,0.626
140,1:n,1:n,,0.744
141,2:y,1:n,+,0.648
142,2:y,2:y,,0.711
143,2:y,1:n,+,0.504
144,1:n,1:n,,0.751
145,2:y,2:y,,0.504
146,2:y,2:y,,0.663
147,1:n,1:n,,0.592
148,2:y,2:y,,0.721
149,1:n,1:n,,0.751
150,1:n,1:n,,0.746
151,1:n,1:n,,0.596
152,2:y,2:y,,0.513
153,2:y,2:y,,0.557
154,2:y,2:y,,0.721
155,1:n,1:n,,0.751
156,2:y,2:y,,0.515
157,1:n,1:n,,0.745
158,2:y,1:n,+,0.568
159,1:n,1:n,,0.752
160,1:n,1:n,,0.747
161,1:n,1:n,,0.712
162,2:y,2:y,,0.518
163,2:y,2:y,,0.691
164,1:n,1:n,,0.746
165,2:y,2:y,,0.532
166,2:y,2:y,,0.711
167,2:y,2:y,,0.569
168,2:y,2:y,,0.64
169,2:y,2:y,,0.72
170,2:y,2:y,,0.717
171,1:n,1:n,,0.746
172,1:n,1:n,,0.74
173,1:n,1:n,,0.745
174,1:n,1:n,,0.75
175,2:y,2:y,,0.701
176,2:y,2:y,,0.711
177,1:n,1:n,,0.746
178,2:y,1:n,+,0.509
179,2:y,1:n,+,0.523
180,2:y,1:n,+,0.5
181,1:n,1:n,,0.746
182,2:y,1:n,+,0.558
183,2:y,2:y,,0.626
184,1:n,1:n,,0.737
185,1:n,1:n,,0.56
186,1:n,1:n,,0.752
187,1:n,1:n,,0.751
188,2:y,2:y,,0.71
189,1:n,1:n,,0.752
190,2:y,2:y,,0.626
191,2:y,2:y,,0.696
192,1:n,1:n,,0.734
