=== Run information ===

Scheme:       weka.classifiers.lazy.IBk -K 1 -W 0 -A "weka.core.neighboursearch.LinearNNSearch -A \"weka.core.EuclideanDistance -R first-last\""
Relation:     featureVectorsDumpCaraotaDigitalCNNELaPatilla_cluster_density-weka.filters.unsupervised.attribute.RenameNominalValues-R11-Ncluster2:y,cluster1:n-weka.filters.unsupervised.attribute.SortLabels-Rfirst-last-SNON-CASE-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst
Instances:    3000
Attributes:   11
              tweet_id
              hashtags
              mentions
              uppercase
              nonalpha
              urls
              len
              numbers
              favorite_count
              retweet_count
              cluster
Test mode:    split 70.0% train, remainder test

=== Classifier model (full training set) ===

IB1 instance-based classifier
using 1 nearest neighbour(s) for classification


Time taken to build model: 0.01 seconds

=== Predictions on test split ===

inst#,actual,predicted,error,prediction
1,1:n,1:n,,1
2,2:y,2:y,,1
3,1:n,1:n,,1
4,1:n,1:n,,1
5,2:y,2:y,,1
6,1:n,1:n,,1
7,2:y,2:y,,1
8,1:n,1:n,,1
9,2:y,2:y,,1
10,1:n,1:n,,1
11,2:y,2:y,,1
12,1:n,1:n,,1
13,2:y,2:y,,1
14,1:n,1:n,,1
15,2:y,2:y,,1
16,1:n,1:n,,1
17,2:y,2:y,,1
18,2:y,2:y,,1
19,2:y,2:y,,1
20,1:n,1:n,,1
21,1:n,1:n,,1
22,1:n,1:n,,1
23,1:n,1:n,,1
24,1:n,1:n,,1
25,2:y,2:y,,1
26,1:n,1:n,,1
27,1:n,1:n,,1
28,2:y,2:y,,1
29,1:n,1:n,,1
30,1:n,1:n,,1
31,2:y,2:y,,1
32,1:n,1:n,,1
33,1:n,1:n,,1
34,1:n,1:n,,1
35,2:y,2:y,,1
36,2:y,2:y,,1
37,1:n,1:n,,1
38,2:y,2:y,,1
39,1:n,1:n,,1
40,2:y,2:y,,1
41,1:n,1:n,,1
42,2:y,2:y,,1
43,2:y,2:y,,1
44,1:n,1:n,,1
45,2:y,2:y,,1
46,1:n,1:n,,1
47,2:y,2:y,,1
48,2:y,2:y,,1
49,2:y,2:y,,1
50,2:y,2:y,,1
51,2:y,2:y,,1
52,2:y,2:y,,1
53,2:y,2:y,,1
54,2:y,2:y,,1
55,2:y,2:y,,1
56,1:n,1:n,,1
57,2:y,2:y,,1
58,2:y,2:y,,1
59,2:y,2:y,,1
60,2:y,2:y,,1
61,1:n,1:n,,1
62,1:n,1:n,,1
63,1:n,1:n,,1
64,2:y,2:y,,1
65,1:n,1:n,,1
66,2:y,2:y,,1
67,2:y,2:y,,1
68,1:n,1:n,,1
69,1:n,1:n,,1
70,1:n,1:n,,1
71,2:y,2:y,,1
72,1:n,1:n,,1
73,1:n,1:n,,1
74,1:n,1:n,,1
75,1:n,1:n,,1
76,2:y,2:y,,1
77,1:n,1:n,,1
78,1:n,1:n,,1
79,2:y,2:y,,1
80,2:y,2:y,,1
81,2:y,2:y,,1
82,2:y,2:y,,1
83,2:y,2:y,,1
84,1:n,1:n,,1
85,2:y,2:y,,1
86,1:n,1:n,,1
87,2:y,2:y,,1
88,1:n,1:n,,1
89,1:n,1:n,,1
90,1:n,1:n,,1
91,2:y,2:y,,1
92,2:y,2:y,,1
93,1:n,1:n,,1
94,2:y,2:y,,1
95,1:n,1:n,,1
96,1:n,1:n,,1
97,1:n,1:n,,1
98,1:n,1:n,,1
99,2:y,2:y,,1
100,1:n,1:n,,1
101,1:n,1:n,,1
102,2:y,2:y,,1
103,2:y,2:y,,1
104,2:y,2:y,,1
105,1:n,1:n,,1
106,2:y,2:y,,1
107,1:n,1:n,,1
108,1:n,1:n,,1
109,2:y,2:y,,1
110,1:n,1:n,,1
111,1:n,1:n,,1
112,2:y,2:y,,1
113,2:y,2:y,,1
114,1:n,1:n,,1
115,2:y,2:y,,1
116,2:y,2:y,,1
117,2:y,2:y,,1
118,1:n,1:n,,1
119,2:y,2:y,,1
120,2:y,2:y,,1
121,2:y,2:y,,1
122,2:y,2:y,,1
123,1:n,1:n,,1
124,1:n,1:n,,1
125,2:y,2:y,,1
126,2:y,2:y,,1
127,1:n,1:n,,1
128,2:y,2:y,,1
129,2:y,2:y,,1
130,1:n,1:n,,1
131,1:n,1:n,,1
132,2:y,2:y,,1
133,1:n,1:n,,1
134,2:y,2:y,,1
135,1:n,1:n,,1
136,1:n,1:n,,1
137,1:n,1:n,,1
138,2:y,2:y,,1
139,1:n,1:n,,1
140,1:n,1:n,,1
141,2:y,2:y,,1
142,2:y,2:y,,1
143,2:y,2:y,,1
144,1:n,1:n,,1
145,2:y,2:y,,1
146,2:y,2:y,,1
147,1:n,1:n,,1
148,2:y,2:y,,1
149,1:n,1:n,,1
150,1:n,1:n,,1
151,1:n,1:n,,1
152,2:y,2:y,,1
153,2:y,2:y,,1
154,2:y,2:y,,1
155,1:n,1:n,,1
156,2:y,2:y,,1
157,1:n,1:n,,1
158,2:y,1:n,+,1
159,1:n,1:n,,1
160,1:n,1:n,,1
161,1:n,1:n,,1
162,2:y,2:y,,1
163,2:y,2:y,,1
164,1:n,1:n,,1
165,2:y,2:y,,1
166,2:y,2:y,,1
167,2:y,2:y,,1
168,2:y,2:y,,1
169,2:y,2:y,,1
170,2:y,2:y,,1
171,1:n,1:n,,1
172,1:n,1:n,,1
173,1:n,1:n,,1
174,1:n,1:n,,1
175,2:y,2:y,,1
176,2:y,2:y,,1
177,1:n,1:n,,1
178,2:y,2:y,,1
179,2:y,2:y,,1
180,2:y,1:n,+,1
181,1:n,1:n,,1
182,2:y,2:y,,1
183,2:y,2:y,,1
184,1:n,1:n,,1
185,1:n,1:n,,1
186,1:n,1:n,,1
187,1:n,1:n,,1
188,2:y,2:y,,1
189,1:n,1:n,,1
190,2:y,2:y,,1
191,2:y,2:y,,1
192,1:n,1:n,,1
193,1:n,1:n,,1
194,2:y,2:y,,1
195,2:y,2:y,,1
196,1:n,1:n,,1
197,1:n,1:n,,1
198,1:n,1:n,,1
199,1:n,1:n,,1
200,1:n,1:n,,1
201,2:y,2:y,,1
202,2:y,2:y,,1
203,2:y,2:y,,1
204,2:y,2:y,,1
205,1:n,1:n,,1
206,1:n,1:n,,1
207,1:n,1:n,,1
208,1:n,1:n,,1
209,2:y,2:y,,1
210,1:n,1:n,,1
211,1:n,2:y,+,1
212,2:y,2:y,,1
213,1:n,1:n,,1
214,2:y,1:n,+,1
215,1:n,1:n,,1
216,1:n,1:n,,1
217,1:n,1:n,,1
218,1:n,1:n,,1
219,2:y,2:y,,1
220,2:y,2:y,,1
221,2:y,2:y,,1
222,1:n,1:n,,1
223,1:n,1:n,,1
224,2:y,2:y,,1
225,1:n,1:n,,1
226,2:y,2:y,,1
227,1:n,1:n,,1
228,1:n,1:n,,1
229,1:n,1:n,,1
230,2:y,2:y,,1
231,2:y,2:y,,1
232,2:y,2:y,,1
233,1:n,1:n,,1
234,1:n,1:n,,1
235,2:y,2:y,,1
236,1:n,1:n,,1
237,2:y,2:y,,1
238,2:y,2:y,,1
239,2:y,2:y,,1
240,2:y,2:y,,1
241,1:n,1:n,,1
242,1:n,1:n,,1
243,1:n,1:n,,1
244,1:n,1:n,,1
245,1:n,1:n,,1
246,2:y,2:y,,1
247,1:n,1:n,,1
248,2:y,2:y,,1
249,1:n,1:n,,1
250,1:n,1:n,,1
251,1:n,1:n,,1
252,1:n,1:n,,1
253,2:y,2:y,,1
254,2:y,2:y,,1
255,1:n,1:n,,1
256,1:n,1:n,,1
257,1:n,1:n,,1
258,2:y,2:y,,1
259,2:y,2:y,,1
260,2:y,2:y,,1
261,2:y,2:y,,1
262,2:y,2:y,,1
263,2:y,2:y,,1
264,1:n,1:n,,1
265,1:n,1:n,,1
266,1:n,1:n,,1
267,1:n,1:n,,1
268,1:n,1:n,,1
269,1:n,1:n,,1
270,2:y,2:y,,1
271,2:y,2:y,,1
272,1:n,1:n,,1
