@relation featureVectorsDumpCaraotaDigitalCNNELaPatillaENTRENAMIENTO_OUTLIERS-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C9-L2-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C10-L2-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C10-L2-weka.filters.unsupervised.attribute.Remove-R9-weka.filters.unsupervised.attribute.Remove-R9-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-Rfirst-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Discretize-B10-M-1.0-R4-weka.filters.unsupervised.attribute.Discretize-D-B10-M-1.0-R4-weka.filters.unsupervised.attribute.MathExpression-Eexp(A)-V-R5-weka.filters.unsupervised.attribute.MathExpression-Eexp(A)-V-R4-weka.filters.unsupervised.attribute.MathExpression-Elog(A)-V-R2-weka.filters.unsupervised.attribute.MathExpression-Elog(A)-V-R6-weka.filters.unsupervised.attribute.MathExpression-Elog(A)-V-R1-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute hashtags {'\'(-inf-0.1]\'','\'(0.1-0.2]\'','\'(0.2-0.3]\'','\'(0.3-0.4]\'','\'(0.4-0.5]\'','\'(0.5-0.6]\'','\'(0.6-0.7]\'','\'(0.7-0.8]\'','\'(0.8-0.9]\'','\'(0.9-inf)\''}
@attribute uppercase numeric
@attribute nonalpha numeric
@attribute urls {'\'(-inf-0.1]\'','\'(0.1-0.2]\'','\'(0.2-0.3]\'','\'(0.3-0.4]\'','\'(0.4-0.5]\'','\'(0.5-0.6]\'','\'(0.6-0.7]\'','\'(0.7-0.8]\'','\'(0.8-0.9]\'','\'(0.9-inf)\''}
@attribute len numeric
@attribute numbers numeric
@attribute spam {n,y}

@data
'\'(-inf-0.1]\'',0.612295,0.52,'\'(0.9-inf)\'',0.795235,?,n
'\'(-inf-0.1]\'',0.691374,0.6,'\'(0.9-inf)\'',0.616974,?,n
'\'(-inf-0.1]\'',0.436207,0.24,'\'(0.4-0.5]\'',0.193563,?,n
'\'(0.3-0.4]\'',0.563791,0.76,'\'(0.9-inf)\'',0.640953,?,n
'\'(-inf-0.1]\'',0.691374,0.68,'\'(0.9-inf)\'',0.514759,?,y
'\'(-inf-0.1]\'',0.506422,0.44,'\'(0.4-0.5]\'',0.559066,0.630931,n
'\'(-inf-0.1]\'',0.345685,0.44,'\'(0.4-0.5]\'',0.559066,?,n
'\'(-inf-0.1]\'',0.218105,0.16,'\'(0.4-0.5]\'',0.401587,0.630931,n
'\'(-inf-0.1]\'',?,0.32,'\'(0.4-0.5]\'',0.372803,?,n
'\'(0.3-0.4]\'',0.691374,0.72,'\'(0.9-inf)\'',0.628904,?,y
'\'(0.3-0.4]\'',0,0.32,'\'(0.4-0.5]\'',0.461787,0,n
'\'(-inf-0.1]\'',0.654312,0.64,'\'(0.9-inf)\'',0.640953,?,y
'\'(0.3-0.4]\'',0.506422,0.44,'\'(0.4-0.5]\'',0.86513,?,n
'\'(-inf-0.1]\'',0.754516,0.52,'\'(0.9-inf)\'',0.75493,?,n
'\'(-inf-0.1]\'',0.654312,0.64,'\'(0.4-0.5]\'',0.728716,0,y
'\'(-inf-0.1]\'',0,0.16,'\'(0.4-0.5]\'',0.335729,?,n
'\'(0.6-0.7]\'',0.807082,0.88,'\'(0.9-inf)\'',0.781667,?,n
'\'(-inf-0.1]\'',0.612295,0.36,'\'(0.9-inf)\'',0.640953,?,n
'\'(-inf-0.1]\'',0.436207,0.64,'\'(0.9-inf)\'',0.605162,0,y
'\'(0.3-0.4]\'',0.781895,0.4,'\'(0.9-inf)\'',0.665411,?,n
'\'(-inf-0.1]\'',0.691374,0.4,'\'(0.9-inf)\'',0.86513,?,y
'\'(0.3-0.4]\'',0.563791,0.32,'\'(0.4-0.5]\'',0.850873,?,n
'\'(-inf-0.1]\'',0.436207,0.48,'\'(0.9-inf)\'',0.781667,0,n
'\'(0.3-0.4]\'',0.612295,0.44,'\'(0.9-inf)\'',0.363396,?,y
'\'(-inf-0.1]\'',0.909479,0.28,'\'(0.4-0.5]\'',0.605162,?,n
'\'(-inf-0.1]\'',0,0.2,'\'(0.4-0.5]\'',0.421258,?,n
'\'(-inf-0.1]\'',0.654312,0.4,'\'(0.9-inf)\'',0.836756,?,n
'\'(0.3-0.4]\'',0.612295,0.52,'\'(0.9-inf)\'',0.703017,0.630931,n
'\'(0.3-0.4]\'',0.724527,0.6,'\'(0.9-inf)\'',0.665411,0.630931,n
'\'(-inf-0.1]\'',0.345685,0.24,'\'(0.4-0.5]\'',0.120456,?,n
'\'(-inf-0.1]\'',0.436207,0.28,'\'(0.4-0.5]\'',0.05424,0,n
'\'(-inf-0.1]\'',0.436207,0.32,'\'(0.4-0.5]\'',0.232922,?,y
'\'(0.3-0.4]\'',0.436207,0.24,'\'(0.4-0.5]\'',0.382302,?,y
'\'(0.3-0.4]\'',0.754516,0.52,'\'(0.9-inf)\'',0.605162,0,n
'\'(0.3-0.4]\'',0.8304,0.84,'\'(0.9-inf)\'',0.836756,?,n
'\'(-inf-0.1]\'',0.563791,0.28,'\'(0.4-0.5]\'',0.493255,0,n
'\'(-inf-0.1]\'',0.654312,0.24,'\'(0.4-0.5]\'',0.441322,?,n
'\'(0.3-0.4]\'',0.612295,0.8,'\'(0.9-inf)\'',0.728716,?,y
'\'(-inf-0.1]\'',0.218105,0.24,'\'(0.4-0.5]\'',0.354082,0,n
'\'(-inf-0.1]\'',0.436207,0.24,'\'(0.4-0.5]\'',0.291404,0.630931,y
'\'(-inf-0.1]\'',0.612295,0.2,'\'(0.4-0.5]\'',0.335729,0.630931,n
'\'(-inf-0.1]\'',0.218105,0.16,'\'(0.4-0.5]\'',0.209073,0,n
'\'(-inf-0.1]\'',0.807082,0.8,'\'(0.9-inf)\'',0.808939,?,n
'\'(0.6-0.7]\'',0.8304,0.6,'\'(0.9-inf)\'',0.514759,?,y
'\'(0.3-0.4]\'',0.345685,0.4,'\'(0.4-0.5]\'',0.525672,?,n
'\'(-inf-0.1]\'',0.563791,0.44,'\'(0.9-inf)\'',0.503954,?,n
'\'(-inf-0.1]\'',0.345685,0.32,'\'(0.4-0.5]\'',0.170866,?,n
'\'(-inf-0.1]\'',0.436207,0.4,'\'(0.4-0.5]\'',0.441322,?,n
'\'(0.3-0.4]\'',0.654312,0.64,'\'(0.4-0.5]\'',0.850873,0.630931,n
'\'(-inf-0.1]\'',0.691374,0.32,'\'(0.9-inf)\'',0.640953,?,n
'\'(-inf-0.1]\'',0.612295,0.28,'\'(0.4-0.5]\'',0.570419,?,n
'\'(-inf-0.1]\'',0.612295,0.52,'\'(0.9-inf)\'',0.593466,?,n
'\'(-inf-0.1]\'',0.654312,0.48,'\'(0.9-inf)\'',0.640953,?,n
'\'(-inf-0.1]\'',0.345685,0.2,'\'(0.4-0.5]\'',0.113535,?,n
'\'(-inf-0.1]\'',0.218105,0.36,'\'(0.4-0.5]\'',0.291404,1,y
'\'(-inf-0.1]\'',0.345685,0.44,'\'(0.4-0.5]\'',0.581886,0.630931,n
'\'(-inf-0.1]\'',0.872417,0.44,'\'(0.9-inf)\'',0.703017,0,n
