id,workspace_id,user_id,twitter_id,text,source,retweet,geo,longitude,latitude,place_type,place_name,place_country_code,place_country,favorite_count,retweet_count,sentiment,possibly_sensitive,lang,posted_at,updated_at,created_at
11557,4,13,832057653333458944,El legendario Nokia 3310 resucitaráhttps://t.co/CocltFMFvU,TweetDeck,false,false,,,,,,,401,283,,false,es,2017-02-16 02:42:58 +0000,2017-02-22 05:07:56 +0000,2017-02-22 05:07:56 +0000
10949,4,13,834262890840473605,'La La Land': ¿víctima de su fama?  https://t.co/ye735CGip2,TweetDeck,false,false,,,,,,,39,17,,false,es,2017-02-22 04:45:47 +0000,2017-02-22 05:07:50 +0000,2017-02-22 05:07:50 +0000
10951,4,13,834267590776217600,Ahora puedes transferir dinero a otros países a través de Facebook https://t.co/2G66zQFs3v,TweetDeck,false,false,,,,,,,7,12,,false,es,2017-02-22 05:04:28 +0000,2017-02-22 05:07:50 +0000,2017-02-22 05:07:50 +0000
13949,4,13,840555156802539520,"¿Atrapado en el tráfico? Este auto te llevará volando, literalmente https://t.co/juO8B2DbM9 https://t.co/s5HjTihRUJ",TweetDeck,false,false,,,,,,,42,27,,false,es,2017-03-11 13:29:00 +0000,2017-03-11 13:43:20 +0000,2017-03-11 13:43:20 +0000
14110,4,13,839992581396299777,📺  @alejosbotran: Es el estado de Guatemala el que falló | @RafaelRomoCNN,TweetDeck,false,false,,,,,,,35,21,,false,es,2017-03-10 00:13:32 +0000,2017-03-11 13:43:23 +0000,2017-03-11 13:43:23 +0000
13950,4,13,840547356571516928,Y el aeropuerto con más pasajeros del mundo es... https://t.co/rl5eEXCfnb https://t.co/vak1rFLLEz,TweetDeck,false,false,,,,,,,42,60,,false,es,2017-03-11 12:58:01 +0000,2017-03-11 13:43:20 +0000,2017-03-11 13:43:20 +0000
10952,4,13,834251284303773702,Adolescente inspira la creación de la primera muñeca transgénero https://t.co/U4jcmUw6rS https://t.co/SDpuRvU6qt,TweetDeck,false,false,,,,,,,56,36,,false,es,2017-02-22 03:59:40 +0000,2017-02-22 05:07:50 +0000,2017-02-22 05:07:50 +0000
10953,4,13,834257923555606528,La deuda de México amenaza con llegar al 51% del PIB https://t.co/lw2jcxJBEB,TweetDeck,false,false,,,,,,,39,52,,false,es,2017-02-22 04:26:03 +0000,2017-02-22 05:07:50 +0000,2017-02-22 05:07:50 +0000
10954,4,13,834255868438933504,Publican guías para implementar nuevo decreto de inmigración y seguridad fronteriza https://t.co/acw0VFBE1h,TweetDeck,false,false,,,,,,,18,29,,false,es,2017-02-22 04:17:53 +0000,2017-02-22 05:07:50 +0000,2017-02-22 05:07:50 +0000
13953,4,13,840540056586715136,¿Quién es responsable de la tragedia en #Guatemala? https://t.co/zZ0HrGOXve,TweetDeck,false,false,,,,,,,15,18,,false,es,2017-03-11 12:29:00 +0000,2017-03-11 13:43:20 +0000,2017-03-11 13:43:20 +0000
10955,4,13,834254085398417408,¿Qué nos dicen las caras de los robots sobre nosotros mismos? https://t.co/qb5Wfycwcf https://t.co/THa0c22guI,TweetDeck,false,false,,,,,,,30,11,,false,es,2017-02-22 04:10:48 +0000,2017-02-22 05:07:50 +0000,2017-02-22 05:07:50 +0000
10950,4,13,834268072647196672,Hace 52 años murió Malcolm X https://t.co/S78E7cCmlS,TweetDeck,false,false,,,,,,,10,10,,false,es,2017-02-22 05:06:23 +0000,2017-02-22 05:07:50 +0000,2017-02-22 05:07:50 +0000
10956,4,13,834265494249172994,"Lin-Manuel Miranda, uno de los pocos latinos nominados al Oscar https://t.co/ibiyDzsHrM",TweetDeck,false,false,,,,,,,39,18,,false,es,2017-02-22 04:56:08 +0000,2017-02-22 05:07:50 +0000,2017-02-22 05:07:50 +0000
10957,4,13,834253137032658945,Semana decisiva para el fútbol argentinohttps://t.co/BYul8DRGql,TweetDeck,false,false,,,,,,,30,16,,false,es,2017-02-22 04:07:02 +0000,2017-02-22 05:07:50 +0000,2017-02-22 05:07:50 +0000
13955,4,13,840502309972930560,Remezón en Honduras por declaraciones de narcotraficante que señalan al expresidente Lobo https://t.co/YPAqe6Mi2Y,TweetDeck,false,false,,,,,,,24,25,,false,es,2017-03-11 09:59:01 +0000,2017-03-11 13:43:20 +0000,2017-03-11 13:43:20 +0000
14111,4,13,839987386675265536,Videgaray: Solamente México decide quién entra al paíshttps://t.co/bhDNYpGoev,TweetDeck,false,false,,,,,,,41,27,,false,es,2017-03-09 23:52:53 +0000,2017-03-11 13:43:23 +0000,2017-03-11 13:43:23 +0000
11102,4,13,833770870573260801,ÚLTIMA HORA Trump nombra al general H.R. McMaster como consejero de Seguridad Nacionalhttps://t.co/N8WTVwa4oO,TweetDeck,false,false,,,,,,,71,69,,false,es,2017-02-20 20:10:40 +0000,2017-02-22 05:07:52 +0000,2017-02-22 05:07:52 +0000
13952,4,13,840517410394267648,Tal vez te lo has preguntado alguna vez: Cómo beber vino sin quitarle el corcho https://t.co/Q3JKMPXMgE,TweetDeck,false,false,,,,,,,57,44,,false,es,2017-03-11 10:59:01 +0000,2017-03-11 13:43:20 +0000,2017-03-11 13:43:20 +0000
