tweet_id,hashtags,mentions,uppercase,nonalpha,urls,len,numbers,topic_id=0,topic_id=1,topic_id=2,topic_id=3,topic_id=4,topic_id=5,topic_id=6,topic_id=7,topic_id=8,topic_id=9,spam
11123,0,0,0.241379,0.52,1,2.366439,0,f,f,f,f,f,f,f,f,t,f,n
11415,0,0,0.310345,0.6,1,2.060137,0,f,f,t,f,f,f,f,f,f,f,n
13905,0,0,0.137931,0.24,0.5,1.332596,0,f,f,f,f,t,f,f,f,f,f,n
12734,0.333333,0,0.206897,0.76,1,2.101338,0,f,f,f,f,f,f,f,t,f,f,n
11161,0,0,0.310345,0.68,1,1.884502,0,f,f,t,f,f,f,f,f,f,f,y
13125,0,0,0.172414,0.44,0.5,1.960633,0.666667,f,f,f,f,t,f,f,f,f,f,n
13445,0,0,0.103448,0.44,0.5,1.960633,0,t,f,f,f,f,f,f,f,f,f,n
13852,0,0,0.068966,0.16,0.5,1.69004,0.666667,f,f,f,f,f,f,t,f,f,f,n
11614,0,0,0,0.32,0.5,1.640579,0,f,f,f,f,f,t,f,f,f,f,n
12649,0.333333,0,0.310345,0.72,1,2.080635,0,f,t,f,f,f,f,f,f,f,f,y
11154,0.333333,0,0.034483,0.32,0.5,1.793481,0.333333,f,f,f,f,t,f,f,f,f,f,n
12561,0,0,0.275862,0.64,1,2.101338,0,t,f,f,f,f,f,f,f,f,f,y
11845,0.333333,0,0.172414,0.44,0.5,2.486537,0,f,f,t,f,f,f,f,f,f,f,n
11106,0,0,0.37931,0.52,1,2.297182,0,f,t,f,f,f,f,f,f,f,f,n
13171,0,0,0.275862,0.64,0.5,2.252141,0.333333,f,f,f,f,f,f,f,f,t,f,y
13521,0,0,0.034483,0.16,0.5,1.576876,0,f,f,f,f,t,f,f,f,f,f,n
12256,0.666667,0,0.448276,0.88,1,2.343124,0,f,f,f,f,t,f,f,f,f,f,n
12011,0,0,0.241379,0.36,1,2.101338,0,f,f,f,f,f,f,f,t,f,f,n
12295,0,0,0.137931,0.64,1,2.03984,0.333333,f,f,f,f,f,f,f,t,f,f,y
12116,0.333333,0,0.413793,0.4,1,2.143363,0,f,f,f,f,t,f,f,f,f,f,n
11599,0,0,0.310345,0.4,1,2.486537,0,f,f,t,f,f,f,f,f,f,f,y
13007,0.333333,0,0.206897,0.32,0.5,2.46204,0,f,f,f,f,t,f,f,f,f,f,n
12038,0,0,0.137931,0.48,1,2.343124,0.333333,f,f,f,f,f,f,f,f,t,f,n
11794,0.333333,0,0.241379,0.44,1,1.624416,0,f,f,f,f,f,f,f,t,f,f,y
11492,0,0,0.62069,0.28,0.5,2.03984,0,f,t,f,f,f,f,f,f,f,f,n
12036,0.333333,0.5,0.551724,0.88,1,1.980142,0,f,f,f,t,f,f,f,f,f,f,y
11309,0,0,0.034483,0.2,0.5,1.72384,0,f,f,f,f,f,f,f,t,f,f,n
10989,0,0.5,0.206897,0.44,0.5,1.255737,0,f,f,f,f,f,f,f,f,t,f,n
11128,0,0,0.275862,0.4,1,2.437783,0,f,f,f,f,f,t,f,f,f,f,n
12784,0.333333,0,0.241379,0.52,1,2.207983,0.666667,f,f,f,f,f,f,f,f,t,f,n
12732,0.333333,0,0.344828,0.6,1,2.143363,0.666667,f,f,f,f,f,t,f,f,f,f,n
13459,0,0,0.103448,0.24,0.5,1.206977,0,f,t,f,f,f,f,f,f,f,f,n
10950,0,0,0.137931,0.28,0.5,1.0932,0.333333,f,f,f,f,f,f,f,t,f,f,n
11635,0,0,0.137931,0.32,0.5,1.400226,0,f,f,f,f,t,f,f,f,f,f,y
12342,0.333333,0,0.137931,0.24,0.5,1.656903,0,t,f,f,f,f,f,f,f,f,f,y
12825,0.333333,0,0.37931,0.52,1,2.03984,0.333333,f,f,f,f,t,f,f,f,f,f,n
11080,0.333333,0,0.482759,0.84,1,2.437783,0,f,f,f,f,t,f,f,f,f,f,n
13290,0,0,0.206897,0.28,0.5,1.847552,0.333333,f,f,f,f,f,f,f,t,f,f,n
13507,0,0,0.275862,0.24,0.5,1.758316,0,f,f,f,f,f,f,f,t,f,f,n
12578,0.333333,0,0.241379,0.8,1,2.252141,0,f,t,f,f,f,f,f,f,f,f,y
13137,0,0,0.068966,0.24,0.5,1.608412,0.333333,f,f,f,f,f,f,t,f,f,f,n
13066,0,0,0.137931,0.24,0.5,1.500713,0.666667,f,t,f,f,f,f,f,f,f,f,y
11890,0,0,0.241379,0.2,0.5,1.576876,0.666667,f,f,f,f,f,t,f,f,f,f,n
13182,0,0,0.068966,0.16,0.5,1.359247,0.333333,f,f,f,f,f,f,f,t,f,f,n
11817,0,0,0.448276,0.8,1,2.389985,0,f,f,f,f,f,t,f,f,f,f,n
12033,0.666667,0,0.482759,0.6,1,1.884502,0,f,f,f,f,f,f,f,t,f,f,y
13001,0.333333,0,0.103448,0.4,0.5,1.903253,0,f,f,f,f,f,f,f,t,f,f,n
11331,0,0,0.206897,0.44,1,1.865935,0,f,f,f,f,f,f,f,t,f,f,n
13935,0,0,0.103448,0.32,0.5,1.293596,0,f,f,f,f,f,f,f,t,f,f,n
11152,0,0,0.137931,0.4,0.5,1.758316,0,f,t,f,f,f,f,f,f,f,f,n
12967,0.333333,0,0.275862,0.64,0.5,2.46204,0.666667,f,f,f,f,f,f,f,t,f,f,n
11005,0,0,0.310345,0.32,1,2.101338,0,f,f,f,f,t,f,f,f,f,f,n
11656,0,0,0.241379,0.28,0.5,1.980142,0,f,f,f,f,f,t,f,f,f,f,n
11550,0.333333,1,0.241379,0.4,0,2.16469,0.333333,f,t,f,f,f,f,f,f,f,f,n
11511,0,0,0.241379,0.52,1,2.019743,0,f,f,t,f,f,f,f,f,f,f,n
12586,0,0,0.275862,0.48,1,2.101338,0,f,t,f,f,f,f,f,f,f,f,n
11117,0,0,0.103448,0.2,0.5,1.195086,0,f,t,f,f,f,f,f,f,f,f,n
13283,0,0,0.068966,0.36,0.5,1.500713,1,f,f,f,f,f,f,f,t,f,f,y
13055,0,0,0.103448,0.44,0.5,1.999844,0.666667,t,f,f,f,f,f,f,f,f,f,n
12801,0,0,0.551724,0.44,1,2.207983,0.333333,f,t,f,f,f,f,f,f,f,f,n
11660,0,0,0.275862,0.32,1,2.343124,0,f,f,t,f,f,f,f,f,f,f,n
