@relation 'featureVectorsEntrenamientoWithTopicRetuitFav-weka.filters.unsupervised.attribute.Remove-R1-weka.filters.unsupervised.attribute.NumericToNominal-R8,11-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.AddCluster-Wweka.clusterers.SimpleKMeans -init 0 -max-candidates 100 -periodic-pruning 10000 -min-density 2.0 -t1 -1.25 -t2 -1.0 -N 2 -A \"weka.core.EuclideanDistance -R first-last\" -I 500 -num-slots 1 -S 10-I11-weka.filters.unsupervised.attribute.Remove-R11-weka.filters.unsupervised.attribute.RenameAttribute-findcluster-replacespam-Rlast-weka.filters.unsupervised.attribute.RenameNominalValues-R11-Ncluster1:y,cluster2:n'

@attribute hashtags numeric
@attribute mentions numeric
@attribute uppercase numeric
@attribute nonalpha numeric
@attribute urls numeric
@attribute len numeric
@attribute numbers numeric
@attribute topic_id {0,1,2,3,4,5,6,7,8,9}
@attribute favorite_count numeric
@attribute retweet_count numeric
@attribute spam {y,n}

@data
0,0,0.241379,0.52,1,0.861386,0,8,0.189718,0.077668,n
0,0,0.310345,0.6,1,0.722772,0,2,0.026792,0.007605,n
0,0,0.137931,0.24,0.5,0.287129,0,4,0.001448,0.002535,n
0.333333,0,0.206897,0.76,1,0.742574,0,7,0.000724,0.001152,y
0,0,0.310345,0.68,1,0.633663,0,2,0.034033,0.008066,n
0,0,0.172414,0.44,0.5,0.673267,0.666667,4,0.002172,0.001152,y
0,0,0.103448,0.44,0.5,0.673267,0,0,0.000724,0,n
0,0,0.068966,0.16,0.5,0.524752,0.666667,6,0.000724,0,y
0,0,0,0.32,0.5,0.49505,0,5,0.03693,0.008066,n
0.333333,0,0.310345,0.72,1,0.732673,0,1,0,0.000922,n
0.333333,0,0.034483,0.32,0.5,0.584158,0.333333,4,0.054308,0.023508,y
0,0,0.275862,0.64,1,0.742574,0,0,0.000724,0.00023,n
0.333333,0,0.172414,0.44,0.5,0.910891,0,2,0.107169,0.020512,n
0,0,0.37931,0.52,1,0.831683,0,1,0.034033,0.010832,n
0,0,0.275862,0.64,0.5,0.811881,0.333333,8,0.007965,0.003227,y
0,0,0.034483,0.16,0.5,0.455446,0,4,0.004345,0.002074,n
0.666667,0,0.448276,0.88,1,0.851485,0,4,0,0.001613,n
0,0,0.241379,0.36,1,0.742574,0,7,0,0.00023,y
0,0,0.137931,0.64,1,0.712871,0.333333,7,0.002172,0.00023,y
0.333333,0,0.413793,0.4,1,0.762376,0,4,0.000724,0.000691,n
0,0,0.310345,0.4,1,0.910891,0,2,0.063722,0.025351,n
0.333333,0,0.206897,0.32,0.5,0.90099,0,4,0.001448,0.000691,n
0,0,0.137931,0.48,1,0.851485,0.333333,8,0,0,y
0.333333,0,0.241379,0.44,1,0.485149,0,7,0.113686,0.020973,y
0,0,0.62069,0.28,0.5,0.712871,0,1,0.135409,0.119843,n
0.333333,0.5,0.551724,0.88,1,0.683168,0,3,0,0.00023,n
0,0,0.034483,0.2,0.5,0.544554,0,7,0.155684,0.032957,y
0,0.5,0.206897,0.44,0.5,0.227723,0,8,0.035482,0.006914,n
0,0,0.275862,0.4,1,0.891089,0,5,0.054308,0.036875,n
0.333333,0,0.241379,0.52,1,0.792079,0.666667,8,0.001448,0.001844,y
0.333333,0,0.344828,0.6,1,0.762376,0.666667,5,0.001448,0.00023,y
0,0,0.103448,0.24,0.5,0.188119,0,1,0,0,n
0,0,0.137931,0.28,0.5,0.089109,0.333333,7,0.007241,0.002305,y
0,0,0.137931,0.32,0.5,0.336634,0,4,0.056481,0.007836,n
0.333333,0,0.137931,0.24,0.5,0.50495,0,0,0,0,n
0.333333,0,0.37931,0.52,1,0.712871,0.333333,4,0.000724,0.000922,y
0.333333,0,0.482759,0.84,1,0.891089,0,4,0.102824,0.065453,n
0,0,0.206897,0.28,0.5,0.613861,0.333333,7,0.001448,0.003227,y
0,0,0.275862,0.24,0.5,0.564356,0,7,0,0.000922,y
0.333333,0,0.241379,0.8,1,0.811881,0,1,0,0,n
0,0,0.068966,0.24,0.5,0.475248,0.333333,6,0,0,y
0,0,0.137931,0.24,0.5,0.405941,0.666667,1,0.000724,0.000691,n
0,0,0.241379,0.2,0.5,0.455446,0.666667,5,0.023172,0.006684,y
0,0,0.068966,0.16,0.5,0.306931,0.333333,7,0.002172,0.000691,y
0,0,0.448276,0.8,1,0.871287,0,5,0.02824,0.008758,n
0.666667,0,0.482759,0.6,1,0.633663,0,7,0,0.00023,y
0.333333,0,0.103448,0.4,0.5,0.643564,0,7,0.001448,0.000461,y
0,0,0.206897,0.44,1,0.623762,0,7,0.099203,0.029039,y
0,0,0.103448,0.32,0.5,0.257426,0,7,0.002172,0.001613,y
0,0,0.137931,0.4,0.5,0.564356,0,1,0.035482,0.011062,n
