tweet_id,hashtags,mentions,uppercase,nonalpha,urls,len,numbers,spam
1,0,0,4,9,1,113,1,n
5,0,0,13,14,1,100,0,n
18,0,0,4,9,1,113,1,n
21,0,0,13,14,1,100,0,n
22,0,0,4,9,1,115,2,n
26,0,0,12,16,2,108,1,n
29,0,0,5,7,1,87,0,n
44,0,0,8,23,2,142,0,n
46,0,0,10,19,2,139,1,y
48,0,0,12,10,2,126,0,n
59,0,0,9,20,2,128,0,y
60,0,0,11,7,1,100,0,n
61,0,0,13,10,2,118,0,n
69,0,0,14,14,2,125,0,n
72,0,0,8,14,2,139,2,n
76,0,0,16,19,2,124,0,n
94,0,0,6,7,1,69,0,n
95,0,0,11,18,1,144,0,n
96,0,0,8,12,2,114,0,n
97,0,0,11,11,2,100,1,n
99,0,0,12,15,2,95,0,n
100,0,0,13,10,2,105,0,n
104,0,0,6,9,1,74,0,n
105,0,0,14,10,2,107,0,n
108,0,0,11,13,2,112,0,y
114,0,0,8,12,2,112,0,n
117,0,0,7,12,1,81,0,n
128,0,0,11,16,2,115,0,n
144,0,0,10,12,2,127,0,n
153,0,0,8,6,1,76,1,y
155,0,0,7,6,1,93,0,n
156,0,0,15,12,2,96,1,y
158,0,0,8,11,1,79,1,y
159,0,0,6,7,1,70,0,y
160,0,0,9,14,1,97,0,y
161,0,0,2,7,1,67,0,n
163,0,0,11,15,2,95,0,n
169,0,0,9,9,1,106,0,y
174,0,0,8,7,1,99,1,n
177,0,0,7,12,1,81,0,n
181,0,0,4,9,1,117,3,n
187,0,0,6,10,1,71,0,n
197,0,0,9,18,1,118,1,n
198,0,0,5,7,1,88,0,n
203,0,0,10,15,1,141,0,n
205,0,0,10,9,1,101,0,n
220,0,0,8,5,1,94,0,n
223,0,0,5,15,1,104,0,y
229,0,0,10,5,1,98,0,n
232,0,0,9,14,1,115,1,y
236,0,0,5,18,1,118,0,n
250,0,0,9,11,1,84,1,n
253,0,0,7,5,1,81,0,n
254,0,0,6,10,1,71,0,n
256,0,0,9,5,1,83,0,n
258,0,0,8,8,1,88,0,y
260,0,0,8,6,1,78,2,n
263,0,0,5,7,1,90,0,n
264,0,0,10,15,1,141,0,n
271,0,0,8,11,1,91,0,n
278,0,0,13,14,1,100,0,n
285,0,0,12,12,1,109,0,n
290,0,0,9,11,1,87,1,n
298,0,0,8,14,1,92,0,n
301,0,0,9,7,1,85,1,n
302,0,0,5,15,1,104,0,y
303,0,0,10,5,1,98,0,n
306,0,0,13,14,1,87,0,y
310,0,0,6,10,1,71,0,n
313,0,0,5,7,1,88,0,n
320,0,0,10,12,2,110,0,n
325,0,0,13,17,2,141,0,n
328,0,0,7,14,2,130,0,n
329,0,0,14,14,2,124,0,n
333,0,0,11,12,2,91,0,n
335,0,0,8,10,2,122,0,n
336,0,0,7,12,2,93,0,n
338,0,0,11,8,1,102,0,n
342,0,0,14,12,2,124,0,n
346,0,0,4,10,1,95,1,n
348,0,0,8,12,2,127,0,n
356,0,0,11,6,1,120,0,n
377,0,0,18,9,1,83,0,n
378,0,0,9,13,1,119,0,n
384,0,0,11,23,2,142,1,n
385,0,0,7,18,1,144,0,n
388,0,0,3,7,1,81,0,n
392,0,0,6,10,1,72,0,n
396,0,0,8,12,1,108,0,y
401,0,0,3,11,1,98,0,n
403,0,0,7,17,1,84,1,n
410,0,0,9,9,1,91,1,n
414,0,0,11,9,1,100,1,n
421,0,0,6,11,1,97,0,n
426,0,0,8,14,1,89,0,y
430,0,0,9,20,1,125,1,n
444,0,0,3,11,1,99,1,n
448,0,0,17,14,1,101,1,n
451,0,0,9,9,1,107,1,n
452,0,0,8,15,1,105,1,y
456,0,0,5,7,1,89,2,n
458,0,0,7,9,1,101,1,n
459,0,0,5,11,1,86,3,n
460,0,0,5,11,1,87,4,n
461,0,0,5,11,1,86,3,n
467,0,0,6,10,1,91,2,n
476,0,0,3,11,1,99,1,n
