tweet_id,hashtags,mentions,uppercase,nonalpha,urls,len,numbers,spam
0,0,0,1,8,1,129,0,y
1,0,0,0,4,1,113,1,n
2,0,0,0,1,1,97,0,n
3,0,0,0,1,1,103,0,n
4,0,0,0,2,1,85,0,n
5,0,0,1,5,1,100,0,n
6,0,0,0,3,1,84,0,n
7,0,0,0,1,1,113,0,n
8,0,0,2,3,1,108,0,n
9,0,0,0,4,1,89,0,n
10,0,0,0,3,1,116,0,n
11,0,0,0,1,1,90,0,y
12,0,0,0,5,1,117,0,n
13,0,0,0,5,1,131,0,n
14,0,0,0,5,1,104,0,n
15,0,0,1,4,1,132,0,n
16,0,0,0,5,1,58,0,y
17,0,0,0,3,1,84,0,n
18,0,0,0,4,1,113,1,n
19,0,0,0,2,1,85,0,n
20,0,0,0,7,2,131,1,n
21,0,0,1,5,1,100,0,n
22,0,0,0,6,1,115,1,n
23,0,0,0,2,1,104,0,n
24,1,0,0,2,1,92,0,n
25,1,0,0,3,2,94,0,y
26,0,0,0,6,2,108,1,n
27,0,0,1,8,1,132,0,y
28,0,0,1,7,2,126,0,n
29,0,0,0,2,1,87,0,n
30,0,0,0,7,2,130,0,y
31,0,0,0,4,2,109,0,n
32,0,0,0,5,2,135,1,n
33,0,0,0,5,1,89,0,n
34,0,0,0,2,2,126,0,n
35,0,0,0,3,1,126,0,n
36,0,0,0,7,2,139,1,y
37,0,0,0,2,2,121,0,n
38,0,0,0,4,2,124,0,n
39,0,0,0,4,2,121,0,n
40,0,0,0,5,1,122,0,n
41,0,0,0,2,1,76,1,n
42,0,0,0,4,1,128,0,n
43,0,0,0,5,2,91,0,n
44,0,0,0,7,2,142,0,n
45,0,1,0,2,2,110,0,n
46,0,0,0,6,2,139,1,y
47,0,0,0,5,2,113,0,n
48,0,0,0,2,2,126,0,n
49,0,0,1,2,2,102,0,n
50,0,0,0,4,1,66,0,n
51,0,0,0,3,2,101,0,n
52,0,0,0,9,1,140,0,y
53,0,0,0,4,2,102,0,y
54,0,0,0,2,1,58,0,y
55,0,0,0,2,2,98,0,y
56,0,0,0,3,1,74,1,n
57,0,1,0,3,1,79,0,n
58,0,0,0,2,1,58,0,y
59,0,0,0,7,2,128,0,y
60,0,0,1,2,1,100,0,n
61,0,0,1,2,2,118,0,n
62,0,0,2,4,2,132,0,n
63,0,0,0,5,1,131,0,n
64,0,0,0,4,2,106,0,y
65,0,0,0,6,2,136,0,y
66,0,0,0,4,2,119,1,n
67,0,0,0,4,2,98,0,n
68,0,0,0,5,2,127,0,n
69,0,0,1,4,2,125,0,n
70,0,0,0,4,2,140,0,n
71,0,0,0,4,1,134,0,n
72,0,0,0,7,2,139,1,n
73,0,0,0,2,2,118,0,n
74,1,0,0,3,1,81,0,n
75,1,0,0,3,2,116,0,n
76,0,0,1,6,2,124,0,n
77,1,0,0,3,1,67,0,n
78,0,0,0,3,2,128,0,n
79,0,0,0,4,2,108,0,n
80,0,0,0,4,2,115,0,y
81,0,0,0,3,2,109,0,n
82,0,0,1,4,1,135,0,n
83,0,0,0,5,1,134,0,n
84,0,0,0,2,2,114,0,y
85,0,0,0,2,1,85,0,n
86,0,0,0,6,2,141,0,n
87,0,0,0,4,2,140,0,n
88,0,0,0,2,2,137,0,n
89,0,0,0,3,1,78,0,y
90,0,0,0,5,2,122,2,n
91,0,0,0,5,2,123,0,n
92,0,0,0,3,2,112,0,n
93,0,0,0,3,2,131,0,n
94,0,0,0,2,1,69,0,n
95,0,0,1,6,1,144,0,n
96,0,0,0,3,2,114,0,n
97,0,0,0,4,2,100,1,n
98,0,0,0,4,1,138,0,n
99,0,0,0,4,2,95,0,n
100,0,0,0,2,2,105,0,n
101,0,0,1,5,1,132,0,n
102,0,0,0,3,2,118,0,n
103,0,0,0,1,1,90,0,n
104,0,0,0,3,1,74,0,n
105,0,0,0,2,2,107,0,n
106,0,0,1,2,2,104,0,n
107,0,0,0,2,2,126,0,n
108,0,0,0,4,2,112,0,y
109,0,0,1,3,2,128,1,n
110,0,0,0,5,2,108,0,n
111,0,0,0,2,2,110,0,n
112,0,0,0,5,2,136,0,n
113,0,0,0,3,1,63,0,n
114,0,0,0,3,2,112,0,n
115,0,0,0,6,2,124,0,n
116,0,0,1,5,2,137,1,n
117,0,0,0,4,1,81,0,n
118,1,0,0,4,1,124,0,n
119,0,0,0,3,2,103,0,n
120,0,0,0,5,2,97,0,n
121,0,0,0,6,2,128,1,n
122,0,0,0,4,2,114,1,n
123,0,0,0,3,1,122,0,n
124,0,0,0,3,2,124,0,n
125,0,0,0,5,2,108,0,n
126,0,0,1,2,2,127,0,n
127,0,0,1,2,2,133,0,n
128,0,0,0,5,2,115,0,n
129,0,0,0,3,2,134,0,n
130,0,0,0,5,2,126,0,n
131,0,0,1,4,2,117,1,y
132,0,0,1,6,2,123,0,n
133,0,0,1,3,1,129,0,n
134,0,0,0,2,2,103,0,n
135,0,0,0,7,2,125,1,y
136,0,0,0,3,2,121,0,n
137,1,0,1,5,2,126,0,n
138,0,0,0,3,2,118,0,n
139,0,0,0,2,1,62,0,n
140,0,0,0,4,2,108,0,n
141,0,0,0,4,2,96,2,n
142,0,0,0,2,1,78,0,y
143,0,0,0,5,2,139,0,y
144,0,0,0,3,2,127,0,n
