tweet_id,hashtags,mentions,uppercase,nonalpha,urls,len,numbers
12807,0,0,8,13,2,96,1
12542,0,0,9,12,2,128,0
13596,0,0,8,5,1,81,0
13924,0,0,5,7,1,88,0
12958,0,0,12,21,2,110,0
10986,1,2,7,13,0,112,0
12109,1,0,16,16,2,112,1
13339,0,0,19,6,1,94,2
11492,0,0,21,9,1,117,0
12106,0,0,19,13,2,124,0
12907,1,0,8,13,2,118,0
11608,0,0,7,6,1,93,0
10968,1,2,20,23,2,144,0
12651,0,0,13,13,2,130,0
12927,0,0,13,15,2,111,0
11911,0,0,5,7,1,61,1
12178,1,0,12,13,2,135,0
12354,1,0,11,13,2,135,0
11760,0,0,15,12,2,103,0
12835,1,0,8,13,2,95,1
12246,0,0,7,14,2,120,0
11418,0,0,7,14,2,116,1
12803,1,0,14,15,2,131,2
11008,0,0,9,14,2,102,0
13945,0,0,13,14,1,100,0
12127,1,0,15,17,2,131,0
11645,0,0,6,18,1,147,0
11129,0,0,7,14,1,103,0
11393,0,1,7,11,1,101,0
12039,0,0,11,21,2,110,0
11961,0,0,12,17,2,133,0
11983,1,0,13,20,2,119,0
13142,0,0,7,8,1,85,1
11882,0,0,7,9,1,95,0
11259,0,0,12,13,2,106,0
12202,1,0,11,17,2,142,0
11383,0,0,12,12,2,89,0
12100,1,0,12,14,2,123,0
12333,0,0,11,20,2,127,1
11948,2,0,8,15,2,127,0
13918,0,1,19,20,2,134,3
12243,0,0,13,13,2,115,1
13353,0,0,5,9,1,106,0
12488,1,0,11,12,2,129,0
13177,0,0,9,16,1,88,2
12485,1,0,9,16,2,112,0
13309,0,0,7,9,1,80,2
11102,0,0,21,9,1,110,0
13283,0,0,5,11,1,86,3
12741,1,0,10,13,2,122,0
13263,0,0,6,5,1,95,1
13076,0,0,10,18,1,137,1
11620,0,0,12,6,1,94,0
13836,0,0,4,9,1,115,2
11188,0,0,11,14,2,133,0
13532,0,0,13,14,2,116,0
11500,0,1,24,25,2,132,0
10970,1,0,11,16,1,102,0
12714,1,0,11,11,2,125,2
12434,1,0,10,13,2,118,0
12506,0,0,8,14,2,131,0
11797,1,0,10,14,2,96,0
13359,0,0,10,7,1,97,0
12490,1,0,15,16,2,128,0
13881,0,0,11,16,1,106,0
12467,0,0,12,18,2,140,1
12380,1,0,11,13,2,135,1
13392,0,0,8,8,1,94,0
12086,1,0,13,20,2,143,0
11000,0,0,34,18,2,135,0
11591,0,0,4,8,1,86,0
11960,0,0,11,12,2,119,0
12481,2,0,9,14,2,133,0
12598,2,0,12,18,2,116,1
13818,0,0,9,12,1,122,0
12041,1,0,9,15,2,109,0
13113,0,0,5,6,1,79,3
12114,0,0,16,10,2,111,1
11277,1,0,12,4,0,104,0
12117,0,0,14,16,2,138,0
13645,0,0,8,5,1,91,0
12148,0,0,9,13,2,130,0
12389,0,0,8,21,2,110,0
13089,0,0,7,13,1,119,2
11270,0,0,9,13,2,138,0
12892,1,0,9,18,1,123,0
12998,1,0,12,10,1,114,0
13520,0,0,13,10,2,105,0
11310,0,0,15,15,2,126,0
12767,0,0,13,10,2,109,2
11485,0,0,7,8,1,101,0
11765,0,0,11,10,2,97,0
13297,0,0,6,12,1,90,1
13525,0,0,10,12,2,110,0
12926,2,0,10,25,1,114,0
13399,0,0,8,11,1,95,1
12588,0,0,8,12,2,106,0
11027,0,0,9,13,1,94,0
13063,0,0,5,9,1,123,3
12632,0,0,10,16,2,105,0
12627,0,0,13,18,2,140,1
12513,0,0,14,16,2,96,0
12491,2,0,12,15,1,120,0
13942,0,0,5,9,1,84,0
12688,1,0,11,15,2,106,0
11299,0,0,11,14,2,93,1
13013,1,0,10,14,1,129,0
12047,1,0,14,17,2,113,0
11733,0,0,12,16,2,105,0
11348,0,0,8,9,1,68,1
13126,0,0,5,16,1,134,1
12136,0,0,10,18,2,128,1
11072,0,0,10,15,2,124,1
12757,0,0,8,13,2,118,3
11950,0,0,11,13,2,124,2
12348,1,0,15,16,2,128,0
11889,0,0,9,5,1,94,0
11743,0,0,8,14,1,90,0
12231,1,0,14,16,2,133,0
13215,0,0,17,14,1,119,1
11603,0,0,7,7,1,85,0
11593,0,0,4,11,1,104,1
13590,0,0,6,12,1,94,0
11464,0,2,9,16,1,144,1
13404,0,0,5,9,1,74,0
12561,0,0,11,18,2,120,0
13874,0,0,9,11,1,84,1
13149,0,0,6,12,1,90,1
12028,1,0,12,13,2,135,1
13036,1,0,11,18,1,127,2
12602,1,0,14,13,2,137,0
12665,0,0,15,14,2,104,0
11043,0,0,7,10,1,61,0
13207,0,0,8,5,1,81,0
11569,0,1,23,16,2,126,0
12414,0,0,10,28,2,145,0
12661,0,0,8,14,2,131,0
13356,0,0,6,5,1,95,1
12989,1,0,10,6,1,128,2
11783,1,0,11,17,2,127,0
12342,1,0,7,8,1,96,0
11302,1,0,9,11,2,123,0
13171,0,0,11,18,1,127,1
11011,0,0,10,10,2,98,0
13411,0,0,8,9,1,115,2
12242,1,0,9,22,2,127,0
13091,0,0,7,15,1,107,1
13515,0,0,14,14,2,124,0
11519,0,1,10,15,1,140,0
13472,0,0,5,6,1,104,0
11314,0,0,12,14,2,124,0
12822,0,0,9,16,2,139,1
12889,0,0,9,11,1,111,0
12518,1,0,9,13,2,135,0
11553,2,0,18,19,2,136,1
11118,0,0,8,10,1,78,0
12962,0,0,10,5,1,122,0
11693,0,0,8,11,1,89,0
12578,1,0,10,22,2,127,0
11959,0,0,13,17,2,133,0
11551,2,0,16,11,1,119,0
13189,0,0,7,9,1,82,0
11041,0,0,7,7,1,76,1
13553,0,0,12,22,2,121,0
12737,2,0,11,14,2,121,3
13172,0,0,7,13,1,119,2
11833,0,0,10,8,1,96,0
13753,0,0,14,10,2,104,0
13814,0,0,6,5,1,76,1
11795,0,1,13,16,2,122,0
13323,0,0,6,15,1,101,2
12471,2,0,9,9,1,111,0
11940,0,0,10,10,1,141,0
12387,1,1,16,24,2,114,0
11601,0,0,15,12,2,121,0
13659,0,0,11,14,2,135,1
13211,0,0,5,17,1,125,1
12308,1,0,10,8,1,94,0
11038,0,0,7,8,1,99,0
13074,0,0,8,17,1,121,0
12955,0,2,11,13,1,131,0
12130,2,0,13,14,2,118,1
11836,0,0,7,5,1,89,0
13386,0,0,8,10,1,100,1
11256,0,0,9,12,2,131,0
11777,1,1,11,20,2,95,0
13041,1,0,10,16,1,120,2
13307,0,0,8,7,1,98,1
12628,0,0,13,16,2,135,0
12443,1,0,15,21,2,140,0
13789,0,0,12,12,2,119,1
13196,0,0,7,26,1,129,0
11357,0,0,9,10,1,64,0
13203,0,0,6,12,1,89,0
11230,1,0,14,13,2,126,0
12716,1,0,13,15,2,110,2
11432,1,0,9,15,1,113,0
12897,1,0,9,12,1,113,0
13915,0,0,10,9,1,101,0
12515,1,0,17,13,2,134,0
13665,1,0,7,10,1,67,0
12018,0,0,11,16,2,126,0
11017,0,0,13,12,2,93,0
11937,0,0,9,7,1,85,0
13419,0,0,6,10,1,89,0
12229,0,0,8,20,2,136,0
11022,0,0,11,16,2,136,0
13265,0,0,7,13,1,118,1
13019,1,0,8,8,1,84,0
13328,0,0,5,5,1,103,1
12247,1,0,12,14,2,136,0
12329,0,0,11,20,2,119,0
11617,0,0,7,8,1,119,0
12852,0,0,13,21,2,131,0
11639,1,2,6,13,0,138,1
13192,0,0,8,15,1,104,0
11809,1,1,11,19,2,134,1
13911,0,0,6,5,1,94,0
13425,1,0,9,8,1,125,0
12820,0,0,13,12,2,130,0
12828,0,0,9,13,2,97,2
13093,0,0,10,9,1,99,2
13185,0,0,11,11,1,110,0
13853,0,0,7,7,1,88,0
11579,0,0,9,7,1,73,0
13037,1,0,11,16,1,132,2
11576,1,1,29,17,1,133,0
12564,0,0,8,12,2,110,0
11899,0,0,5,5,1,90,0
11257,0,0,11,13,2,112,0
11761,0,0,3,7,1,88,0
13943,0,0,11,6,1,85,0
13240,0,0,14,9,1,112,2
12476,0,0,12,14,2,115,0
13187,0,0,4,9,1,77,0
12441,0,0,7,14,2,117,1
13557,1,0,11,16,2,87,0
12344,1,0,13,14,2,128,0
12993,1,0,11,6,1,93,0
11917,0,0,4,12,1,117,0
11253,0,0,6,17,1,123,1
12587,0,0,5,21,2,131,0
12623,0,0,8,16,2,138,0
13824,0,0,8,10,2,126,0
11721,0,0,9,7,1,85,0
11452,1,0,13,20,2,136,0
13703,0,0,11,18,2,99,0
12841,1,0,11,18,2,101,1
12522,1,0,16,15,2,124,0
12287,0,0,9,17,2,133,0
13939,0,0,5,5,1,97,0
11978,1,0,11,16,2,100,0
12720,1,0,15,14,2,131,2
12928,0,2,12,14,2,127,1
13859,0,0,5,7,1,107,0
13467,0,0,6,8,1,92,1
13775,0,0,10,11,1,135,0
11279,1,0,8,5,0,87,0
13031,1,0,14,22,1,143,2
11566,2,2,18,23,2,144,0
13560,0,0,7,15,2,123,0
12063,0,0,5,13,2,96,1
11290,0,0,20,18,1,136,0
13938,0,0,9,13,1,131,0
12296,0,0,11,18,2,140,1
12945,1,0,13,13,2,135,0
13278,0,0,5,16,1,135,2
11891,0,0,5,9,1,96,0
13346,0,0,5,16,1,133,0
13771,0,0,9,14,2,140,0
13214,0,0,27,16,1,134,1
11548,1,2,20,14,0,144,1
11681,0,0,15,15,2,135,0
13806,0,0,14,12,2,101,0
12529,0,0,9,16,2,126,0
11861,0,0,8,5,1,68,0
13542,0,0,8,12,1,122,0
13418,0,0,8,9,1,109,1
13700,0,0,8,6,1,76,1
12142,1,0,10,16,2,112,0
13377,0,0,5,5,1,103,1
12336,0,0,8,14,2,131,0
13539,0,0,18,18,1,146,0
11602,0,0,15,16,2,108,0
12051,1,0,16,15,2,104,0
11360,0,0,10,12,2,139,0
13876,0,0,7,26,1,129,0
12657,0,0,14,25,2,145,3
12439,1,1,18,27,2,121,1
11763,0,0,11,12,2,91,0
11595,0,0,6,5,1,83,0
11457,0,0,11,15,2,132,0
13877,0,0,7,8,1,85,0
12597,1,0,12,13,2,118,0
12129,1,0,11,15,2,135,0
11373,1,1,22,20,2,142,0
11246,0,0,16,17,2,97,0
12179,1,0,13,18,2,100,0
12838,0,0,11,17,2,115,2
10992,0,0,7,6,1,65,0
11169,0,0,13,10,2,109,0
12902,0,0,11,18,2,140,1
10980,0,1,12,10,1,104,0
13925,0,0,10,10,1,111,0
12984,1,0,11,10,1,127,2
13699,0,0,9,12,2,133,0
12686,1,0,11,18,1,124,0
13657,0,0,18,23,2,126,0
11116,0,0,13,18,1,138,0
12574,0,0,13,23,2,129,0
11738,0,0,11,19,2,137,0
10972,0,0,7,7,1,92,0
11796,1,0,5,21,1,143,0
12882,1,0,11,14,2,136,0
11147,0,0,5,10,1,71,0
