tweet_id,hashtags,mentions,uppercase,nonalpha,urls,len,numbers,spam
11123,0,0,0.241379,0.52,1,0.861386,0,n
11415,0,0,0.310345,0.6,1,0.722772,0,n
13905,0,0,0.137931,0.24,0.5,0.287129,0,n
12734,0.333333,0,0.206897,0.76,1,0.742574,0,n
11161,0,0,0.310345,0.68,1,0.633663,0,y
13125,0,0,0.172414,0.44,0.5,0.673267,0.666667,n
13445,0,0,0.103448,0.44,0.5,0.673267,0,n
13852,0,0,0.068966,0.16,0.5,0.524752,0.666667,n
11614,0,0,0,0.32,0.5,0.49505,0,n
12649,0.333333,0,0.310345,0.72,1,0.732673,0,y
11154,0.333333,0,0.034483,0.32,0.5,0.584158,0.333333,n
12561,0,0,0.275862,0.64,1,0.742574,0,y
11845,0.333333,0,0.172414,0.44,0.5,0.910891,0,n
11106,0,0,0.37931,0.52,1,0.831683,0,n
13171,0,0,0.275862,0.64,0.5,0.811881,0.333333,y
13521,0,0,0.034483,0.16,0.5,0.455446,0,n
12256,0.666667,0,0.448276,0.88,1,0.851485,0,n
12011,0,0,0.241379,0.36,1,0.742574,0,n
12295,0,0,0.137931,0.64,1,0.712871,0.333333,y
12116,0.333333,0,0.413793,0.4,1,0.762376,0,n
11599,0,0,0.310345,0.4,1,0.910891,0,y
13007,0.333333,0,0.206897,0.32,0.5,0.90099,0,n
12038,0,0,0.137931,0.48,1,0.851485,0.333333,n
11794,0.333333,0,0.241379,0.44,1,0.485149,0,y
11492,0,0,0.62069,0.28,0.5,0.712871,0,n
11309,0,0,0.034483,0.2,0.5,0.544554,0,n
11128,0,0,0.275862,0.4,1,0.891089,0,n
12784,0.333333,0,0.241379,0.52,1,0.792079,0.666667,n
12732,0.333333,0,0.344828,0.6,1,0.762376,0.666667,n
13459,0,0,0.103448,0.24,0.5,0.188119,0,n
10950,0,0,0.137931,0.28,0.5,0.089109,0.333333,n
11635,0,0,0.137931,0.32,0.5,0.336634,0,y
12342,0.333333,0,0.137931,0.24,0.5,0.50495,0,y
12825,0.333333,0,0.37931,0.52,1,0.712871,0.333333,n
11080,0.333333,0,0.482759,0.84,1,0.891089,0,n
13290,0,0,0.206897,0.28,0.5,0.613861,0.333333,n
13507,0,0,0.275862,0.24,0.5,0.564356,0,n
12578,0.333333,0,0.241379,0.8,1,0.811881,0,y
13137,0,0,0.068966,0.24,0.5,0.475248,0.333333,n
13066,0,0,0.137931,0.24,0.5,0.405941,0.666667,y
11890,0,0,0.241379,0.2,0.5,0.455446,0.666667,n
13182,0,0,0.068966,0.16,0.5,0.306931,0.333333,n
11817,0,0,0.448276,0.8,1,0.871287,0,n
12033,0.666667,0,0.482759,0.6,1,0.633663,0,y
13001,0.333333,0,0.103448,0.4,0.5,0.643564,0,n
11331,0,0,0.206897,0.44,1,0.623762,0,n
13935,0,0,0.103448,0.32,0.5,0.257426,0,n
11152,0,0,0.137931,0.4,0.5,0.564356,0,n
12967,0.333333,0,0.275862,0.64,0.5,0.90099,0.666667,n
11005,0,0,0.310345,0.32,1,0.742574,0,n
11656,0,0,0.241379,0.28,0.5,0.683168,0,n
11511,0,0,0.241379,0.52,1,0.70297,0,n
12586,0,0,0.275862,0.48,1,0.742574,0,n
11117,0,0,0.103448,0.2,0.5,0.178218,0,n
13283,0,0,0.068966,0.36,0.5,0.405941,1,y
13055,0,0,0.103448,0.44,0.5,0.693069,0.666667,n
12801,0,0,0.551724,0.44,1,0.792079,0.333333,n
11660,0,0,0.275862,0.32,1,0.851485,0,n
12792,0.333333,0,0.275862,0.44,1,0.871287,0.333333,n
11298,0,0,0.034483,0.56,0.5,0.851485,0.666667,y
11279,0.333333,0,0.172414,0.12,0,0.415842,0,n
12925,0,0,0.344828,0.56,1,0.831683,0,n
12355,0.333333,0,0.275862,0.44,1,0.485149,0,n
12124,0,0,0.413793,0.56,1,0.891089,0,n
13720,0,0,0.275862,0.36,0.5,0.831683,0,n
11389,0,0,0.241379,0.64,1,0.950495,0.333333,n
12463,0,0,0.310345,0.56,1,0.693069,0,n
12490,0.333333,0,0.413793,0.56,1,0.821782,0,n
11570,0.333333,0,0.482759,0.32,0.5,0.623762,0,n
13819,0,0,0.241379,0.64,1,0.752475,0,n
12854,0,0,0.137931,0.72,1,0.841584,0.333333,n
12370,0.333333,0,0.068966,0.68,1,0.841584,0,n
12058,0.333333,0,0.482759,0.52,1,0.742574,0,n
12243,0,0,0.344828,0.44,1,0.693069,0.333333,y
13114,0,0,0.37931,0.28,0.5,0.673267,0.666667,n
11268,0,0,0.275862,0.48,1,0.910891,0.333333,n
12270,0.333333,0,0.137931,0.56,1,0.861386,0,y
11505,0,0,0.517241,0.2,0.5,0.643564,0,n
12251,0,0,0.206897,0.4,1,0.60396,0,n
12805,0.333333,0,0.413793,0.48,1,0.693069,0,n
12548,0.333333,0,0.275862,0.36,1,0.336634,0,y
11430,0.333333,0,0.206897,0.28,0.5,0.584158,0.333333,n
11983,0.333333,0,0.344828,0.72,1,0.732673,0,y
11766,0,0,0.310345,0.44,1,0.534653,0,n
11593,0,0,0.034483,0.36,0.5,0.584158,0.333333,n
13002,0.333333,0,0.586207,0.52,0.5,0.841584,0,n
13065,0,0,0.137931,0.44,0.5,0.742574,1,n
12890,0.333333,0,0.241379,0.48,0.5,0.762376,0,n
13764,0,0,0.344828,0.4,1,0.663366,0,n
13216,0,0,0.103448,0.28,0.5,0.712871,0,n
11133,0,0,0.034483,0.52,0.5,0.574257,0.333333,y
13680,0,0,0.137931,0.24,0.5,0.386139,0,n
