tweet_id,hashtags,mentions,uppercase,nonalpha,urls,len,numbers,spam
12036,0.333333,0.5,0.551724,0.88,1,0.683168,0,y
10989,0,0.5,0.206897,0.44,0.5,0.227723,0,n
11550,0.333333,1,0.241379,0.4,0,0.772277,0.333333,n
12094,0.333333,0.5,0.551724,1,1,0.742574,0,y
11704,0.333333,0.5,0.344828,0.24,0,0.910891,0,n
12508,0,0.5,0.344828,0.44,1,0.386139,0,n
10958,0,0.5,0.310345,0.32,0.5,0.524752,0,n
13892,0,0.5,0.172414,0.16,0.5,0.405941,0,n
11222,0.333333,0.5,0.068966,0.36,0.5,0.940594,0,n
11090,0.333333,1,0.103448,0.28,0,0.574257,0,n
11449,0.333333,1,0.103448,0.28,0,0.49505,1,n
11379,0,0.5,0.172414,0.48,0.5,0.70297,0.333333,n
10967,0,1,0.344828,0.64,0.5,0.990099,0,n
11475,0.333333,1,0.103448,0.36,0,0.851485,0,n
11519,0,0.5,0.241379,0.52,0.5,0.940594,0,n
11435,0,0.5,0.206897,0.4,0.5,0.891089,0,n
11427,0.333333,1,0.310345,0.68,0.5,0.881188,0,n
11567,0.333333,1,0.068966,0.36,0,0.70297,0.333333,n
11204,0.333333,1,0.448276,0.12,0,0.910891,0,n
10980,0,0.5,0.310345,0.32,0.5,0.584158,0,n
11809,0.333333,0.5,0.275862,0.68,1,0.881188,0.333333,y
13918,0,0.5,0.551724,0.72,1,0.881188,1,y
11069,0.333333,1,0.344828,0.44,0,0.990099,0.333333,n
11378,0,1,0.137931,0.44,0,0.861386,0.333333,n
11081,0,1,0.206897,0.64,0.5,0.782178,0,n
11442,0.333333,1,0.137931,0.56,0,0.792079,0.666667,n
11459,0,0.5,0.241379,0.8,0.5,1,0,n
11365,0.333333,0.5,0.137931,0.36,0,0.980198,0,n
12168,0,0.5,0.310345,0.44,1,0.386139,0,n
11625,0.333333,1,0.275862,0.44,0,0.990099,0,n
11543,0.333333,1,0.206897,0.44,0,0.930693,0.333333,n
11834,0.333333,0.5,0.37931,0.64,0.5,0.920792,0.333333,y
11353,0.666667,0.5,0.551724,0.48,0.5,0.851485,0,n
10990,0.333333,0.5,0.448276,0.64,0.5,0.920792,0,n
10964,0,0.5,0.172414,0.24,0.5,0.534653,0,n
11795,0,0.5,0.344828,0.56,1,0.762376,0,n
11319,0,0.5,0.37931,0.4,0.5,0.584158,0,n
11542,0.333333,1,0.275862,0.36,0,0.772277,0.333333,n
11453,0.333333,0.5,0.37931,0.52,0.5,0.950495,0,n
11709,0,1,0.241379,0.56,0.5,0.960396,0,n
11213,0,0.5,0.206897,0.64,0.5,0.980198,0,y
11380,0,1,0.137931,0.64,0,0.920792,1,n
10973,0,0.5,0.344828,0.36,0.5,0.237624,0,n
11658,0,0.5,0.172414,0.28,0.5,0.752475,0,n
13813,0,0.5,0.310345,0.36,1,0.643564,0,n
11532,0,1,0.103448,0.2,0.5,0.168317,0,n
11480,0.333333,1,1,0.4,0.5,0.732673,0.333333,n
11358,0,0.5,0.37931,0.32,0.5,0.366337,0,n
13035,0.333333,0.5,0.448276,0.64,0.5,0.930693,0.666667,n
11364,0.333333,1,0.172414,0.36,0,0.554455,0.333333,n
11187,0.666667,0.5,0.448276,0.48,0.5,0.821782,0,n
11544,0.333333,1,0.344828,0.44,0.5,0.564356,0.333333,n
10983,0.333333,1,0.137931,0.4,0,0.841584,0,n
11559,0.333333,1,0.448276,0.44,0.5,0.594059,0,n
13424,0,0.5,0.275862,0.24,0.5,0.60396,0,n
11548,0.333333,1,0.586207,0.48,0,0.980198,0.333333,n
11351,0.333333,1,0.275862,0.36,0,0.970297,0.666667,n
