tweet_id,hashtags,mentions,uppercase,nonalpha,urls,len,numbers,spam
12426,0,0,0.2,0.458333,1,0.4,0,n
12286,0.5,0,0.44,0.333333,1,0.729412,0,n
13337,0,0,0.36,0.541667,0.5,0.447059,0.25,y
12934,0,0,0.6,0.5,1,0.882353,0,n
12219,0.5,0,0.4,0.5,1,0.670588,0,n
12424,0,0,0.12,0.416667,1,0.705882,0,n
11801,0.5,0,0.24,0.291667,0.5,0.223529,0,n
13042,0.5,0,0.6,0.25,0.5,0.870588,0.25,n
12603,1,0,0.52,0.416667,1,0.623529,0,n
13897,0,0,0.12,0.208333,0.5,0.211765,0,y
12988,0.5,0,0.4,0.541667,0.5,0.470588,0.5,y
11922,0,0,0.52,0.333333,1,0.635294,0.25,y
13878,0,0,0.44,0.125,0.5,0.552941,0,n
13068,0,0,0.12,0.291667,0.5,0.317647,1,y
11177,0,0,0.48,0.25,0.5,0.894118,0,n
11733,0,0,0.4,0.5,1,0.529412,0,n
13766,0,0,0.16,0.125,0.5,0.105882,0,n
12758,0.5,0,0.52,0.458333,1,0.788235,1,n
13252,0,0,0.28,0.333333,0.5,0.694118,0.5,n
12523,0.5,0,0.52,0.583333,1,0.470588,0,n
11232,0.5,0,0.48,0.666667,1,0.858824,0,n
11277,0.5,0,0.4,0,0,0.517647,0,n
12879,0.5,0,0.28,0.625,1,0.835294,0.25,n
12210,0.5,0,0.28,0.583333,0.5,0.741176,0,n
12555,1,0,0.4,0.583333,1,0.764706,0,n
13237,0,0,0.12,0.5,0.5,0.894118,0.5,y
12507,1,0,0.16,0.333333,1,0.847059,0,n
11396,0,0,0.36,0.5,1,0.752941,0,n
13126,0,0,0.12,0.5,0.5,0.870588,0.25,y
13856,0,0,0.16,0.541667,0.5,0.611765,0,n
13069,0,0,0.08,0.041667,0.5,0.270588,0.5,n
13358,0,0,0.2,0.166667,0.5,0.294118,0.25,n
13289,0,0,0.24,0.458333,0.5,0.529412,0.25,y
13941,0,0,0.24,0.125,0.5,0.352941,0.25,y
12483,0.5,0,0.56,0.458333,1,0.741176,0.25,n
11248,0.5,0,0.64,0.666667,1,0.788235,0,n
13860,0,0,0.24,0.083333,0.5,0.211765,0.5,n
12118,0,0,0.36,0.333333,1,0.694118,0,n
11482,0,0,0.12,0.041667,0.5,0.247059,0,n
11758,0,0,0.2,0.416667,0.5,0.752941,0,n
11973,0,0,0.24,0.416667,1,0.647059,0,n
12992,0.5,0,0.24,0.083333,0.5,0.458824,0,n
11818,0,0,0.16,0.333333,0.5,0.2,0,y
12482,0,0,0.44,0.5,1,0.682353,0,n
12876,0,0,0.48,0.375,1,0.647059,0.25,y
12430,0.5,0,0.4,0.666667,1,0.976471,0,n
11853,1,0,0.32,0.416667,0.5,0.435294,0,n
12488,0.5,0,0.36,0.333333,1,0.811765,0,n
11712,0,0,0.48,0.375,0.5,0.847059,0,n
13151,0,0,0.28,0.333333,0.5,0.682353,0.25,n
13673,0,0,0.2,0.333333,0.5,0.247059,0,y
13603,0,0,0.08,0.041667,0.5,0.247059,0,n
11321,0,0,0.44,0.333333,1,0.352941,0,n
11553,1,0,0.64,0.625,1,0.894118,0.25,y
12778,0.5,0,0.36,0.375,1,0.717647,0.5,n
12518,0.5,0,0.28,0.375,1,0.882353,0,n
13663,0,0,0.48,0.791667,0.5,0.941176,0,y
13571,0,0,0.4,0.458333,1,0.423529,0.25,n
11996,1,0,0.24,0.333333,1,0.847059,0,n
12929,0.5,0,0.48,0.333333,1,0.729412,0,n
11466,0.5,0,0.48,0.416667,1,0.929412,0,n
12526,0.5,0,0.2,0.375,1,0.529412,0,n
12146,0.5,0,0.64,0.541667,1,0.752941,0.25,n
12471,1,0,0.28,0.208333,0.5,0.6,0,n
13717,0,0,0.32,0.666667,1,0.764706,0.5,n
13180,0,0,0.2,0.125,0.5,0.2,0,y
13848,0,0,0.2,0.208333,0.5,0.658824,0,n
10997,0,0,0.36,0.583333,1,0.776471,0.5,n
13127,0,0,0.2,0.375,0.5,0.670588,0,y
12664,0.5,0,0.36,0.291667,1,0.529412,0,y
11512,0,0,0.2,0.125,0.5,0.6,0,n
12353,0.5,0,0.52,0.541667,1,0.647059,0,n
