hashtags,mentions,uppercase,nonalpha,urls,len,numbers,spam
0.5,0.333333,0.4,0.541667,0.5,0.670588,0,n
0,0,0.2,0.458333,1,0.4,0,n
0.5,0,0.44,0.333333,1,0.729412,0,n
0,0,0.36,0.541667,0.5,0.447059,0.25,y
0,0,0.6,0.5,1,0.882353,0,n
0.5,0.333333,0.2,0.375,0,0.611765,0,n
0.5,0,0.4,0.5,1,0.670588,0,n
0,0,0.12,0.416667,1,0.705882,0,n
0.5,0,0.24,0.291667,0.5,0.223529,0,n
0,1,0.4,0.416667,0.5,0.952941,0,n
0.5,0,0.6,0.25,0.5,0.870588,0.25,n
1,0,0.52,0.416667,1,0.623529,0,n
0,0,0.12,0.208333,0.5,0.211765,0,y
0.5,0,0.4,0.541667,0.5,0.470588,0.5,y
0,0,0.52,0.333333,1,0.635294,0.25,y
0,0,0.44,0.125,0.5,0.552941,0,n
0,0,0.12,0.291667,0.5,0.317647,1,y
0,0,0.48,0.25,0.5,0.894118,0,n
0,0,0.4,0.5,1,0.529412,0,n
0.5,0.333333,0.24,0.416667,0,0.858824,0,n
0,0,0.16,0.125,0.5,0.105882,0,n
0.5,0,0.52,0.458333,1,0.788235,1,n
0,0,0.28,0.333333,0.5,0.694118,0.5,n
0.5,0,0.52,0.583333,1,0.470588,0,n
0.5,0,0.48,0.666667,1,0.858824,0,n
0.5,0,0.4,0,0,0.517647,0,n
0.5,0,0.28,0.625,1,0.835294,0.25,n
0.5,0,0.28,0.583333,0.5,0.741176,0,n
1,0,0.4,0.583333,1,0.764706,0,n
0,0,0.12,0.5,0.5,0.894118,0.5,y
1,0,0.16,0.333333,1,0.847059,0,n
0,0,0.36,0.5,1,0.752941,0,n
0,0.333333,0.36,0.541667,0.5,0.964706,0,n
0,0,0.12,0.5,0.5,0.870588,0.25,y
0,0,0.16,0.541667,0.5,0.611765,0,n
0,0,0.08,0.041667,0.5,0.270588,0.5,n
0,0,0.2,0.166667,0.5,0.294118,0.25,n
0,0,0.24,0.458333,0.5,0.529412,0.25,y
0,0,0.24,0.125,0.5,0.352941,0.25,y
0.5,0,0.56,0.458333,1,0.741176,0.25,n
0.5,0,0.64,0.666667,1,0.788235,0,n
0,0,0.24,0.083333,0.5,0.211765,0.5,n
0,0,0.36,0.333333,1,0.694118,0,n
0,0,0.12,0.041667,0.5,0.247059,0,n
0,0,0.2,0.416667,0.5,0.752941,0,n
0,0,0.24,0.416667,1,0.647059,0,n
0.5,0,0.24,0.083333,0.5,0.458824,0,n
0,0,0.16,0.333333,0.5,0.2,0,y
0.5,0.166667,0.6,0.541667,1,0.541176,0.25,n
0,0,0.44,0.5,1,0.682353,0,n
1,0.333333,0.64,0.791667,1,0.988235,0,n
0,0,0.48,0.375,1,0.647059,0.25,y
0.5,0,0.4,0.666667,1,0.976471,0,n
1,0,0.32,0.416667,0.5,0.435294,0,n
0.5,0,0.36,0.333333,1,0.811765,0,n
0,0,0.48,0.375,0.5,0.847059,0,n
0,0,0.28,0.333333,0.5,0.682353,0.25,n
0,0,0.2,0.333333,0.5,0.247059,0,y
0,0,0.08,0.041667,0.5,0.247059,0,n
0,0,0.44,0.333333,1,0.352941,0,n
1,0,0.64,0.625,1,0.894118,0.25,y
0.5,0,0.36,0.375,1,0.717647,0.5,n
0.5,0,0.28,0.375,1,0.882353,0,n
0,0,0.48,0.791667,0.5,0.941176,0,y
0,0,0.4,0.458333,1,0.423529,0.25,n
1,0,0.24,0.333333,1,0.847059,0,n
0.5,0,0.48,0.333333,1,0.729412,0,n
0.5,0,0.48,0.416667,1,0.929412,0,n
0.5,0,0.2,0.375,1,0.529412,0,n
