tweet_id,hashtags,mentions,uppercase,nonalpha,urls,len,numbers,spam,Outlier,ExtremeValue
11474,0.5,0.333333,0.4,0.541667,0.5,0.670588,0,n,no,yes
10986,0.5,0.333333,0.2,0.375,0,0.611765,0,n,no,yes
11525,0,1,0.4,0.416667,0.5,0.952941,0,n,no,yes
11088,0.5,0.333333,0.24,0.416667,0,0.858824,0,n,no,yes
11354,0,0.333333,0.36,0.541667,0.5,0.964706,0,n,no,yes
11541,0.5,0.166667,0.6,0.541667,1,0.541176,0.25,n,no,yes
11566,1,0.333333,0.64,0.791667,1,0.988235,0,n,no,yes
11267,0,0.166667,0.48,0.375,1,0.670588,0,n,no,yes
11476,0.5,0.333333,0.2,0.458333,0,0.717647,0,n,no,yes
11355,0.5,0.166667,0.2,0.75,1,0.870588,0,n,no,yes
12928,0,0.333333,0.4,0.416667,1,0.788235,0.25,n,no,yes
11030,0.5,0.166667,0.16,0.25,0,0.6,0,n,no,yes
11463,0.5,0.166667,0.44,0.458333,1,0.894118,0,y,no,yes
11443,0,0.166667,0.16,0.208333,0.5,0.329412,0,n,no,yes
11339,0,0.166667,0.4,0.5,0.5,0.270588,0,n,no,yes
11412,0,0.166667,0.4,0.333333,0.5,0.788235,0.25,n,no,yes
11218,0.5,0.166667,0.36,0.125,0,0.364706,0,y,no,yes
11240,0.5,0.166667,0.6,0.458333,1,0.847059,0,n,no,yes
11393,0,0.166667,0.2,0.291667,0.5,0.482353,0,n,no,yes
11569,0,0.166667,0.84,0.5,1,0.776471,0,y,no,yes
12151,0.5,0.166667,0.64,0.833333,1,0.717647,0,n,no,yes
11706,0.5,0.166667,0.48,0.083333,0,0.717647,0,n,no,yes
