tweet_id,hashtags,mentions,uppercase,nonalpha,urls,len,numbers,cluster
11127,0,0,0.34375,0.321429,0.666667,0.673077,0,n
11754,0,0,0.28125,0.392857,0.333333,0.663462,0,y
13354,0,0,0.1875,0.464286,0.333333,0.788462,0.25,y
13228,0,0,0.40625,0.285714,0.333333,0.855769,0.25,n
10999,0,0,0.21875,0.214286,0.333333,0.509615,0,y
12901,0,0,0.28125,0.678571,0.666667,0.778846,0,n
11666,0,0.166667,0.46875,0.535714,0.666667,0.721154,0,n
12324,0.25,0,0.21875,0.5,0.666667,0.769231,0.25,n
10964,0,0.166667,0.1875,0.25,0.333333,0.519231,0,y
12580,0.25,0,0.34375,0.464286,0.666667,0.798077,0,n
13539,0,0,0.5,0.607143,0.333333,0.971154,0,n
13720,0,0,0.28125,0.357143,0.333333,0.807692,0,y
13001,0.25,0,0.125,0.392857,0.333333,0.625,0,y
12137,0,0,0.46875,0.535714,0.666667,0.509615,0,n
13259,0,0,0.15625,0.285714,0.333333,0.596154,0.25,y
11791,0.25,0.333333,0.34375,0.678571,0.666667,0.596154,0,n
12141,0.25,0,0.40625,0.5,0.666667,0.75,0.25,n
13820,0,0,0.3125,0.321429,0.666667,0.730769,0,n
13087,0,0,0.09375,0.535714,0.333333,0.855769,0.25,n
11000,0,0,1,0.607143,0.666667,0.865385,0,n
11071,0,0,0.1875,0.321429,0.666667,0.509615,0,n
13928,0,0,0.125,0.321429,0.333333,0.442308,0,y
13095,0,0,0.125,0.321429,0.333333,0.548077,0.25,y
12200,0.25,0,0.3125,0.357143,0.666667,0.692308,0,n
12971,0.25,0,0.28125,0.428571,0.333333,0.836538,0.5,n
11469,0.25,0,0.34375,0.5,0.666667,0.634615,0,n
12555,0.5,0,0.3125,0.607143,0.666667,0.769231,0,n
11775,0.25,0,0.21875,0.571429,0.666667,0.528846,0,n
13873,0,0,0.21875,0.142857,0.333333,0.432692,0,y
11308,0,0,0.25,0.321429,0.333333,0.903846,0,n
12261,0.5,0,0.40625,0.428571,0.666667,0.759615,0.25,n
13740,0,0,0.40625,0.5,0.666667,0.865385,0,n
12598,0.5,0,0.3125,0.607143,0.666667,0.682692,0.25,n
11922,0,0,0.40625,0.392857,0.666667,0.663462,0.25,n
10949,0,0,0.09375,0.428571,0.333333,0.153846,0.25,y
12654,0.25,0,0.1875,0.25,0.333333,0.615385,0,y
13422,0,0,0.125,0.25,0.333333,0.375,0,y
13613,0,0,0.21875,0.392857,0.333333,0.692308,0,y
