tweet_id,hashtags,mentions,uppercase,nonalpha,urls,len,numbers,favorite_count,retweet_count,cluster
13084,0,0,0.15625,0.285714,0.333333,0.769231,0.25,0.400062,1.275373,cluster2
11994,0,0,0.28125,0.428571,0.666667,0.875,0,0,0,cluster1
11271,0,0,0.25,0.321429,0.333333,0.826923,0.25,0.693283,1.878415,cluster2
13822,0,0,0.28125,0.857143,0.666667,0.903846,0.25,0.38029,1.189207,cluster1
12964,0,0,0.3125,0.607143,0.666667,0.942308,0,0.38029,1.090508,cluster1
12516,0.25,0,0.46875,0.571429,0.666667,0.673077,0,0,1.222845,cluster1
11846,0,0,0.3125,0.178571,0.333333,0.346154,0,0.561227,1.715468,cluster2
12250,0.25,0,0.1875,0.5,0.666667,0.778846,0,0.348728,1.090508,cluster1
13174,0,0,0.21875,0.678571,0.333333,0.769231,0.25,0.38029,1.147203,cluster1
13175,0,0,0.40625,0.285714,0.333333,0.855769,0.25,0.503884,1.565085,cluster2
12683,0.25,0,0.34375,0.5,0.666667,0.759615,0,0,1.189207,cluster1
11331,0,0,0.21875,0.428571,0.666667,0.605769,0,0.645025,1.830401,cluster1
11508,0,0,0.3125,0.535714,0.666667,0.692308,0,0.621673,1.797539,cluster1
12432,0.25,0,0.15625,0.428571,0.666667,0.615385,0,0.348728,1.222845,cluster1
13946,0,0,0.15625,0.214286,0.333333,0.557692,0,0,1.147203,cluster2
11660,0,0,0.28125,0.321429,0.666667,0.826923,0,0.52891,1.604839,cluster1
11656,0,0,0.25,0.285714,0.333333,0.663462,0,0.559652,1.709682,cluster2
13086,0,0,0.1875,0.5,0.333333,0.711538,0.25,0.452244,1.595534,cluster2
12631,0.25,0,0.40625,0.428571,0.666667,0.663462,0,0.38029,1.090508,cluster1
12056,0,0,0.15625,0.392857,0.666667,0.471154,0,0.38029,1.090508,cluster1
11878,0,0,0.09375,0.214286,0.333333,0.336538,0,0.562771,1.542211,cluster2
11920,0,0,0.09375,0.25,0.333333,0.384615,0,0.586488,1.62239,cluster2
11821,0,0,0.3125,0.357143,0.333333,0.846154,0,0.605859,1.721121,cluster2
12700,0.25,0,0.25,0.535714,0.666667,0.788462,0.25,0,1.275373,cluster1
12033,0.5,0,0.46875,0.571429,0.666667,0.615385,0,0,1,cluster1
11607,0,0,0.21875,0.357143,0.666667,0.721154,0,0.582979,1.626577,cluster1
13387,0,0,0.375,0.285714,0.333333,0.644231,0.5,0.38029,1.147203,cluster2
13926,0,0,0.21875,0.607143,0.333333,0.701923,0.25,0.400062,1.222845,cluster2
12823,0,0,0.28125,0.678571,0.666667,0.788462,0.25,0,0,cluster1
11917,0,0,0.0625,0.392857,0.333333,0.692308,0,0.637037,1.797539,cluster2
12749,0.25,0,0.21875,0.5,0.666667,0.759615,0.5,0.38029,1.390804,cluster1
12466,0.25,0,0.46875,0.642857,0.666667,0.836538,0,0,1.29684,cluster1
13302,0,0,0.125,0.214286,0.333333,0.442308,0.25,0.348728,1.090508,cluster2
12441,0,0,0.15625,0.464286,0.666667,0.692308,0.25,0,1.29684,cluster1
11764,0,0,0.1875,0.321429,0.666667,0.471154,0,0.632426,1.718311,cluster1
13864,0,0,0.15625,0.357143,0.333333,0.471154,0,0.348728,1.275373,cluster2
13937,0,0,0.15625,0.25,0.333333,0.836538,0,0.38029,1.251033,cluster2
13476,0,0,0.125,0.392857,0.333333,0.442308,0,0.38029,1.147203,cluster2
11085,0,0.166667,0.34375,0.321429,0.333333,0.528846,0,0.696772,1.894582,cluster2
12447,0.25,0,0.15625,0.535714,0.666667,0.836538,0,0.348728,1.090508,cluster1
13498,0,0,0.25,0.321429,0.666667,0.490385,0.5,0.489213,1.251033,cluster1
11220,0,0.166667,0.375,0.392857,0.333333,0.596154,0,0.613706,1.830401,cluster2
11923,0,0,0.25,0.25,0.333333,0.557692,0,0.616172,1.762221,cluster2
11360,0,0,0.25,0.392857,0.666667,0.903846,0,0.575482,1.64261,cluster1
12171,0,0,0.25,0.571429,0.666667,0.692308,0,0.38029,1.189207,cluster1
13029,0.25,0,0.8125,0.5,0.333333,0.913462,0.25,0.41471,1.275373,cluster1
12384,0.25,0,0.1875,0.571429,0.666667,0.932692,0,0.348728,1.29684,cluster1
11879,0,0,0.1875,0.285714,0.333333,0.490385,0,0.597229,1.706737,cluster2
13418,0,0,0.1875,0.285714,0.333333,0.615385,0.25,0.400062,1.147203,cluster2
12009,0.25,0,0.28125,0.464286,0.666667,0.394231,0,0,1.222845,cluster1
13168,0,0,0.8125,0.535714,0.333333,0.865385,0.5,0.38029,1.090508,cluster1
12400,0.25,0,0.34375,0.571429,0.666667,0.653846,0,0.42644,1.29684,cluster1
11654,0,0.166667,0.3125,0.535714,0.666667,0.528846,0,0.587626,1.66828,cluster1
12376,0.25,0,0.28125,0.535714,0.666667,0.759615,0,0,1.189207,cluster1
11985,0,0,0.28125,0.321429,0.666667,0.807692,0,0,0,cluster1
13833,0.25,0,0.1875,0.535714,0.666667,0.471154,0,0.348728,1.090508,cluster1
12017,0,0,0.40625,0.464286,0.666667,0.721154,0,0.348728,1.090508,cluster1
12305,0,0,0.28125,0.428571,0.666667,0.788462,0,0,1.147203,cluster1
11700,0.25,0.333333,0.34375,0.428571,0,0.557692,0.25,0.632426,1.944034,cluster2
13509,0,0,0.15625,0.392857,0.666667,0.461538,0,0,1.29684,cluster1
13323,0,0,0.125,0.5,0.333333,0.538462,0.5,0,1,cluster2
11692,0,0,0.1875,0.357143,0.333333,0.461538,0.25,0.54387,1.509804,cluster2
11459,0,0.166667,0.25,0.75,0.333333,0.971154,0,0.717464,2.228373,cluster2
13834,0.25,0,0.15625,0.285714,0.333333,0.451923,0,0,0,cluster2
