tweet_id,hashtags,mentions,uppercase,nonalpha,urls,len,numbers,spam
11557,0,0,0,2,1,59,1,y
10949,0,0,0,6,1,61,0,n
10951,0,0,0,3,1,92,0,y
13949,0,0,0,6,2,118,0,y
14110,0,2,0,4,0,77,0,n
13950,0,0,1,4,2,98,0,n
10952,0,0,0,5,2,115,0,n
10953,0,0,1,3,1,77,0,n
10954,0,0,0,3,1,109,0,n
13953,1,0,0,2,1,77,0,n
10955,0,0,0,4,2,111,0,n
10950,0,0,1,4,1,54,1,n
10956,0,0,0,3,1,87,0,n
10957,0,0,0,2,1,64,0,n
13955,0,0,0,3,1,115,0,n
14111,0,0,0,4,1,80,0,n
11102,0,0,1,3,1,110,0,n
13952,0,0,0,3,1,104,0,y
11107,0,0,0,3,2,102,0,n
13951,1,0,0,3,1,105,0,n
13956,0,0,0,2,1,127,0,n
10960,0,0,0,3,1,106,0,n
10961,1,2,0,3,0,143,0,n
10958,0,1,0,3,1,98,0,n
14420,0,0,0,3,1,55,0,y
13957,0,0,0,7,2,107,0,y
11307,0,0,0,4,2,104,1,n
10959,0,2,2,3,0,144,0,n
14074,0,0,0,4,1,88,1,n
13958,0,0,0,6,1,121,1,n
10963,1,0,0,7,1,102,0,n
10964,0,1,0,2,1,99,0,y
10962,1,2,1,6,1,138,0,n
13954,0,0,0,5,2,101,0,y
10965,1,2,0,4,0,96,0,n
10967,0,2,1,5,1,145,0,n
13960,0,0,1,6,2,121,1,n
10968,1,2,1,5,2,144,0,n
13959,1,0,0,5,2,129,0,y
10969,0,0,0,3,2,81,1,y
10966,1,2,0,4,0,112,0,n
10970,1,0,0,7,1,102,0,n
13961,0,0,0,6,1,90,0,n
10971,0,0,0,3,1,102,0,y
10972,0,0,1,1,1,92,0,n
13962,0,0,1,3,1,90,0,n
10974,0,1,0,6,1,140,0,n
10975,1,0,0,7,1,102,0,n
13963,1,0,0,3,1,87,0,n
13964,0,0,0,5,1,87,0,n
10976,0,1,1,3,1,144,0,n
14081,0,0,0,4,1,87,0,y
13965,0,1,0,4,1,131,0,n
10980,0,1,0,4,1,104,0,n
10978,0,0,0,1,1,100,0,n
10977,0,0,1,4,1,78,0,n
10973,0,1,0,2,1,69,0,n
11377,0,0,0,2,1,107,0,n
11094,1,1,0,5,2,128,0,n
10981,1,2,0,6,0,142,0,n
10979,0,0,0,6,1,88,1,n
10983,1,2,0,4,0,130,0,n
10982,1,2,0,2,0,101,0,n
11420,0,1,0,2,1,99,0,y
13967,0,0,0,5,1,113,0,n
10986,1,2,0,4,0,112,0,n
10984,1,2,0,4,0,102,0,n
13966,0,0,0,4,2,74,0,y
10985,1,2,0,4,0,143,0,n
13969,0,0,0,3,1,96,1,n
10988,0,0,0,4,2,105,0,n
10987,0,0,0,3,1,65,0,y
13970,0,0,0,4,1,73,0,n
10990,1,1,0,6,1,138,0,n
10989,0,1,0,2,1,68,0,y
10992,0,0,0,2,1,65,0,n
10991,0,0,0,5,2,111,1,n
10993,0,0,0,2,1,71,0,n
13972,0,0,0,4,1,98,0,n
10994,0,0,0,4,1,101,0,n
13968,0,1,1,1,1,78,0,n
10995,0,0,1,3,1,131,0,n
10997,0,0,0,8,2,126,2,n
10996,0,0,1,4,2,123,0,n
13975,0,0,0,4,2,121,0,n
13976,0,2,0,2,1,125,0,n
11000,0,0,1,7,2,135,0,n
13973,0,1,0,2,1,89,0,y
13977,1,1,1,6,2,134,0,y
13974,0,0,0,5,1,115,0,y
11001,0,0,0,3,1,78,0,n
11002,0,0,0,5,1,128,0,n
13971,0,2,0,5,1,137,0,n
11431,0,0,0,2,1,67,0,y
11003,0,0,0,2,2,119,0,n
11004,0,0,0,3,1,129,0,n
10998,0,0,1,5,1,108,0,n
11005,0,0,0,3,2,120,0,n
13979,1,2,0,3,0,118,0,n
11008,0,0,0,4,2,102,0,n
11006,0,0,0,7,2,140,0,n
10999,0,0,0,2,1,98,0,n
11007,0,0,0,2,2,90,0,n
13980,1,2,0,4,0,145,0,n
11009,0,0,0,3,2,96,0,n
11010,0,0,0,5,2,108,0,n
11013,0,0,0,5,1,144,0,n
11011,0,0,0,2,2,98,0,n
11014,0,0,1,3,1,64,0,n
11012,0,0,0,2,1,73,0,n
13982,1,2,0,5,0,145,0,n
13983,1,2,0,5,0,107,0,n
13984,1,2,0,4,0,109,0,n
11017,0,0,0,3,2,93,0,n
13978,1,2,0,3,0,109,0,n
11018,0,0,0,7,1,135,0,n
11015,0,0,1,7,2,108,0,n
11016,0,0,0,2,2,124,0,y
11024,0,0,0,2,1,115,0,n
11029,1,0,0,3,1,77,1,y
11032,0,0,0,2,1,76,0,y
11034,0,0,0,4,1,86,0,y
11039,0,0,1,2,1,78,0,n
11041,0,0,0,3,1,76,0,n
11042,0,0,0,2,1,75,0,n
11046,0,0,0,2,1,58,0,y
11049,0,0,0,6,1,79,0,y
