tweet_id,hashtags,mentions,uppercase,nonalpha,urls,len,numbers,spam
11557,0,0,7,7,1,59,1,y
10949,0,0,5,13,1,61,1,n
10951,0,0,5,9,1,92,0,y
13949,0,0,11,18,2,118,0,y
14110,0,2,7,10,0,77,1,n
13950,0,0,8,15,2,98,0,n
10952,0,0,8,16,2,115,0,n
10953,0,0,9,8,1,77,0,n
10954,0,0,5,9,1,109,0,n
13953,1,0,7,11,1,77,0,n
10955,0,0,5,15,2,111,0,n
10950,0,0,7,9,1,54,1,n
10956,0,0,7,7,1,87,0,n
10957,0,0,6,7,1,64,0,n
13955,0,0,8,9,1,115,0,n
14111,0,0,7,12,1,80,0,n
11102,0,0,21,9,1,110,0,n
13952,0,0,10,8,1,104,0,y
11107,0,0,9,12,2,102,0,n
13951,1,0,6,10,1,105,0,n
13956,0,0,6,8,1,127,0,n
10960,0,0,5,10,1,106,0,n
10961,1,2,9,10,0,143,1,n
10958,0,1,12,10,1,98,0,n
14420,0,0,4,9,1,55,0,y
13957,0,0,8,22,2,107,0,y
11307,0,0,13,12,2,104,1,n
10959,0,2,13,11,0,144,0,n
14074,0,0,7,7,1,88,1,n
13958,0,0,4,16,1,121,1,n
10963,1,0,11,16,1,102,0,n
10964,0,1,8,8,1,99,0,y
10962,1,2,15,16,1,138,1,n
13954,0,0,10,15,2,101,0,y
10965,1,2,7,13,0,96,1,n
10967,0,2,13,18,1,145,0,n
13960,0,0,11,16,2,121,1,n
10968,1,2,20,23,2,144,0,n
13959,1,0,14,17,2,129,0,y
10969,0,0,7,10,2,81,1,y
10966,1,2,9,12,0,112,1,n
10970,1,0,11,16,1,102,0,n
13961,0,0,3,17,1,90,0,n
10971,0,0,7,8,1,102,0,y
10972,0,0,7,7,1,92,0,n
13962,0,0,9,8,1,90,0,n
10974,0,1,10,15,1,140,0,n
10975,1,0,11,16,1,102,0,n
13963,1,0,4,10,1,87,0,n
13964,0,0,7,13,1,87,0,n
10976,0,1,12,14,1,144,0,n
14081,0,0,6,11,1,87,0,y
13965,0,1,4,13,1,131,0,n
10980,0,1,12,10,1,104,0,n
10978,0,0,4,5,1,100,0,n
10977,0,0,9,8,1,78,0,n
10973,0,1,13,11,1,69,0,n
11377,0,0,5,7,1,107,0,n
11094,1,1,16,18,2,128,0,n
10981,1,2,8,15,0,142,0,n
10979,0,0,4,11,1,88,1,n
10983,1,2,7,12,0,130,0,n
10982,1,2,7,9,0,101,0,n
11420,0,1,10,10,1,99,0,y
13967,0,0,8,11,1,113,0,n
10986,1,2,7,13,0,112,0,n
10984,1,2,7,11,0,102,1,n
13966,0,0,16,15,2,74,0,y
10985,1,2,8,12,0,143,0,n
13969,0,0,5,8,1,96,1,n
10988,0,0,7,14,2,105,0,n
10987,0,0,5,17,1,65,0,y
13970,0,0,6,10,1,73,0,n
10990,1,1,16,18,1,138,0,n
10989,0,1,9,13,1,68,0,y
10992,0,0,7,6,1,65,0,n
10991,0,0,12,14,2,111,1,n
10993,0,0,5,7,1,71,0,n
13972,0,0,7,10,1,98,1,n
10994,0,0,7,11,1,101,0,n
13968,0,1,11,7,1,78,0,n
10995,0,0,20,9,1,131,0,n
10997,0,0,11,18,2,126,2,n
10996,0,0,20,14,2,123,0,n
13975,0,0,11,14,2,121,0,n
13976,0,2,7,10,1,125,0,n
11000,0,0,34,18,2,135,0,n
13973,0,1,6,10,1,89,0,y
13977,1,1,21,16,2,134,1,y
13974,0,0,11,13,1,115,0,y
11001,0,0,4,9,1,78,0,n
11002,0,0,10,15,1,128,0,n
13971,0,2,8,16,1,137,0,n
11431,0,0,6,9,1,67,0,y
11003,0,0,13,12,2,119,0,n
11004,0,0,5,8,1,129,0,n
10998,0,0,9,11,1,108,0,n
11005,0,0,12,10,2,120,0,n
13979,1,2,11,10,0,118,0,n
11008,0,0,9,14,2,102,0,n
11006,0,0,9,20,2,140,0,n
10999,0,0,9,7,1,98,0,n
11007,0,0,11,10,2,90,0,n
13980,1,2,11,13,0,145,0,n
11009,0,0,11,12,2,96,0,n
11010,0,0,12,17,2,108,0,n
11013,0,0,8,14,1,144,0,n
11011,0,0,10,10,2,98,0,n
11014,0,0,16,8,1,64,1,n
11012,0,0,10,8,1,73,0,n
13982,1,2,11,14,0,145,0,n
13983,1,2,11,11,0,107,2,n
13984,1,2,11,13,0,109,0,n
11017,0,0,13,12,2,93,0,n
13978,1,2,11,11,0,109,0,n
11018,0,0,5,19,1,135,0,n
11015,0,0,19,19,2,108,1,n
11016,0,0,8,10,2,124,0,y
11024,0,0,10,7,1,115,0,n
11029,1,0,8,8,1,77,1,y
11032,0,0,8,7,1,76,0,y
11034,0,0,7,11,1,86,0,y
11039,0,0,9,7,1,78,0,n
11041,0,0,7,7,1,76,1,n
11042,0,0,8,7,1,75,0,n
11046,0,0,8,7,1,58,0,y
11049,0,0,8,13,1,79,1,y
11051,0,0,7,10,2,125,0,n
11053,0,0,6,7,1,66,0,n
11057,0,1,4,8,1,136,1,n
11055,0,0,7,7,1,69,0,n
11061,0,0,4,9,1,83,0,n
11064,0,0,7,7,1,60,1,n
11066,0,1,5,10,1,111,0,n
11070,0,0,6,6,1,85,0,n
11073,1,2,11,14,0,132,1,n
11074,1,2,11,13,0,139,1,n
11078,0,0,13,13,2,132,1,n
11082,0,2,15,9,1,127,0,n
11085,0,1,13,10,1,100,0,n
11087,0,0,5,5,1,115,0,n
11019,0,0,7,18,2,117,0,y
11021,0,0,9,12,1,128,0,n
11025,0,0,7,7,1,69,1,n
11030,1,1,6,10,0,111,0,n
11022,0,0,11,16,2,136,0,n
11028,0,0,6,11,1,108,1,n
11033,0,0,13,10,2,125,0,n
11035,0,0,10,7,1,92,0,y
11037,1,0,17,23,2,135,0,n
11040,0,0,8,9,1,84,0,y
11044,0,0,7,13,2,132,1,n
11045,0,0,7,13,1,103,0,n
11047,0,0,8,5,1,68,0,n
11050,0,0,7,8,1,86,0,y
11058,0,0,9,12,1,103,0,n
11056,0,0,11,7,1,84,0,n
11063,0,0,10,13,1,133,0,n
11065,0,0,7,8,1,78,0,y
11067,0,0,10,14,2,88,1,n
11072,0,0,10,15,2,124,1,y
11068,0,0,8,18,2,96,1,y
11071,0,0,8,10,2,98,0,nn
11077,1,0,13,17,1,105,2,n
11081,0,2,9,18,1,124,0,n
