tweet_id,hashtags,mentions,uppercase,nonalpha,urls,len,numbers,spam,Outlier,ExtremeValue
11557,0,0,0.129032,0.111111,0.333333,0.054945,0.333333,y,no,yes
10949,0,0,0.064516,0.444444,0.333333,0.076923,0.333333,n,no,yes
10951,0,0,0.064516,0.222222,0.333333,0.417582,0,y,no,no
13949,0,0,0.258065,0.722222,0.666667,0.703297,0,y,no,no
14110,0,0.4,0.129032,0.277778,0,0.252747,0.333333,n,no,yes
13950,0,0,0.16129,0.555556,0.666667,0.483516,0,n,no,no
10952,0,0,0.16129,0.611111,0.666667,0.67033,0,n,no,no
10953,0,0,0.193548,0.166667,0.333333,0.252747,0,n,no,no
10954,0,0,0.064516,0.222222,0.333333,0.604396,0,n,no,no
13953,0.5,0,0.129032,0.333333,0.333333,0.252747,0,n,no,no
10955,0,0,0.064516,0.555556,0.666667,0.626374,0,n,no,no
10950,0,0,0.129032,0.222222,0.333333,0,0.333333,n,no,yes
10956,0,0,0.129032,0.111111,0.333333,0.362637,0,n,no,no
10957,0,0,0.096774,0.111111,0.333333,0.10989,0,n,no,no
13955,0,0,0.16129,0.222222,0.333333,0.67033,0,n,no,no
14111,0,0,0.129032,0.388889,0.333333,0.285714,0,n,no,no
11102,0,0,0.580645,0.222222,0.333333,0.615385,0,n,no,no
13952,0,0,0.225806,0.166667,0.333333,0.549451,0,y,no,no
11107,0,0,0.193548,0.388889,0.666667,0.527473,0,n,no,no
13951,0.5,0,0.096774,0.277778,0.333333,0.56044,0,n,no,no
13956,0,0,0.096774,0.166667,0.333333,0.802198,0,n,no,no
10960,0,0,0.064516,0.277778,0.333333,0.571429,0,n,no,no
10961,0.5,0.4,0.193548,0.277778,0,0.978022,0.333333,n,no,yes
10958,0,0.2,0.290323,0.277778,0.333333,0.483516,0,n,no,yes
14420,0,0,0.032258,0.222222,0.333333,0.010989,0,y,no,no
13957,0,0,0.16129,0.944444,0.666667,0.582418,0,y,no,no
11307,0,0,0.322581,0.388889,0.666667,0.549451,0.333333,n,no,yes
10959,0,0.4,0.322581,0.333333,0,0.989011,0,n,no,yes
14074,0,0,0.129032,0.111111,0.333333,0.373626,0.333333,n,no,yes
13958,0,0,0.032258,0.611111,0.333333,0.736264,0.333333,n,no,yes
10963,0.5,0,0.258065,0.611111,0.333333,0.527473,0,n,no,no
10964,0,0.2,0.16129,0.166667,0.333333,0.494505,0,y,no,yes
10962,0.5,0.4,0.387097,0.611111,0.333333,0.923077,0.333333,n,no,yes
13954,0,0,0.225806,0.555556,0.666667,0.516484,0,y,no,no
10965,0.5,0.4,0.129032,0.444444,0,0.461538,0.333333,n,no,yes
10967,0,0.4,0.322581,0.722222,0.333333,1,0,n,no,yes
13960,0,0,0.258065,0.611111,0.666667,0.736264,0.333333,n,no,yes
10968,0.5,0.4,0.548387,1,0.666667,0.989011,0,n,no,yes
13959,0.5,0,0.354839,0.666667,0.666667,0.824176,0,y,no,no
10969,0,0,0.129032,0.277778,0.666667,0.296703,0.333333,y,no,yes
10966,0.5,0.4,0.193548,0.388889,0,0.637363,0.333333,n,no,yes
10970,0.5,0,0.258065,0.611111,0.333333,0.527473,0,n,no,no
13961,0,0,0,0.666667,0.333333,0.395604,0,n,no,no
10971,0,0,0.129032,0.166667,0.333333,0.527473,0,y,no,no
10972,0,0,0.129032,0.111111,0.333333,0.417582,0,n,no,no
13962,0,0,0.193548,0.166667,0.333333,0.395604,0,n,no,no
10974,0,0.2,0.225806,0.555556,0.333333,0.945055,0,n,no,yes
10975,0.5,0,0.258065,0.611111,0.333333,0.527473,0,n,no,no
13963,0.5,0,0.032258,0.277778,0.333333,0.362637,0,n,no,no
13964,0,0,0.129032,0.444444,0.333333,0.362637,0,n,no,no
10976,0,0.2,0.290323,0.5,0.333333,0.989011,0,n,no,yes
14081,0,0,0.096774,0.333333,0.333333,0.362637,0,y,no,no
13965,0,0.2,0.032258,0.444444,0.333333,0.846154,0,n,no,yes
10980,0,0.2,0.290323,0.277778,0.333333,0.549451,0,n,no,yes
10978,0,0,0.032258,0,0.333333,0.505495,0,n,no,no
10977,0,0,0.193548,0.166667,0.333333,0.263736,0,n,no,no
10973,0,0.2,0.322581,0.333333,0.333333,0.164835,0,n,no,yes
11377,0,0,0.064516,0.111111,0.333333,0.582418,0,n,no,no
11094,0.5,0.2,0.419355,0.722222,0.666667,0.813187,0,n,no,yes
10981,0.5,0.4,0.16129,0.555556,0,0.967033,0,n,no,yes
10979,0,0,0.032258,0.333333,0.333333,0.373626,0.333333,n,no,yes
10983,0.5,0.4,0.129032,0.388889,0,0.835165,0,n,no,yes
10982,0.5,0.4,0.129032,0.222222,0,0.516484,0,n,no,yes
11420,0,0.2,0.225806,0.277778,0.333333,0.494505,0,y,no,yes
13967,0,0,0.16129,0.333333,0.333333,0.648352,0,n,no,no
10986,0.5,0.4,0.129032,0.444444,0,0.637363,0,n,no,yes
10984,0.5,0.4,0.129032,0.333333,0,0.527473,0.333333,n,no,yes
13966,0,0,0.419355,0.555556,0.666667,0.21978,0,y,no,no
10985,0.5,0.4,0.16129,0.388889,0,0.978022,0,n,no,yes
13969,0,0,0.064516,0.166667,0.333333,0.461538,0.333333,n,no,yes
10988,0,0,0.129032,0.5,0.666667,0.56044,0,n,no,no
10987,0,0,0.064516,0.666667,0.333333,0.120879,0,y,no,no
13970,0,0,0.096774,0.277778,0.333333,0.208791,0,n,no,no
10990,0.5,0.2,0.419355,0.722222,0.333333,0.923077,0,n,no,yes
10989,0,0.2,0.193548,0.444444,0.333333,0.153846,0,y,no,yes
10992,0,0,0.129032,0.055556,0.333333,0.120879,0,n,no,no
10991,0,0,0.290323,0.5,0.666667,0.626374,0.333333,n,no,yes
10993,0,0,0.064516,0.111111,0.333333,0.186813,0,n,no,no
13972,0,0,0.129032,0.277778,0.333333,0.483516,0.333333,n,no,yes
10994,0,0,0.129032,0.333333,0.333333,0.516484,0,n,no,no
13968,0,0.2,0.258065,0.111111,0.333333,0.263736,0,n,no,yes
10995,0,0,0.548387,0.222222,0.333333,0.846154,0,n,no,no
10997,0,0,0.258065,0.722222,0.666667,0.791209,0.666667,n,no,yes
10996,0,0,0.548387,0.5,0.666667,0.758242,0,n,no,no
