tweet_id,text
0,Por “sobrado” recibió un tremendo KO que lo dejó sin título y “viendo por un pitillo” (+video) https://t.co/2LglvsQUxT
1,Pdvsa efectuó el pago de intereses de bonos del último semestre con vencimiento en 2022 https://t.co/xoVNjsHz3a
2,Trump designa al teniente general McMaster como nuevo asesor presidencial https://t.co/8uyawU6Rae
3,David Smolansky asegura que nuevo aumento salarial pone en riesgo las alcaldíashttps://t.co/s0IPd1ADBu
4,Rafaela Requesens: No nos vamos a doblegar ante este gobierno https://t.co/8NIOIQQJCd
5,Esperando el muro… Así es la actual frontera entre México y EEUU (Fotos) https://t.co/Imt0aYO5SA
6,La Unesco evalúa el estado de conservación de Machu Picchu https://t.co/sBdgoaldm7
7,Observador internacional Winston Flores denuncia irregularidades en elecciones de Ecuador https://t.co/LRqpCU3awg
8,NOS: TSJ y CNE castran la democracia al intentar erradicar a los partidos políticos https://t.co/UNGsoBaCm7
9,La Nasa anunciará un descubrimiento más allá del sistema solar https://t.co/pEqeoIlPAO
10,Florido rechaza las descalificaciones de Maduro y lo acusa de ser cómplice de narcotráfico https://t.co/SpUzscKCUl
11,Gran Alianza Nacional informa al mundo que Maduro no es presidente https://t.co/XUI7RgUFhr
12,Candidato opositor ecuatoriano: Huele mal eso ¿Cómo se van a demorar tres días por un 12%? https://t.co/ptw5rxFdI7
13,La falsa lucha por la soberanía alimentaria parte III: ¿Cuánto pagan los venezolanos por comida vencida? https://t.co/er3IcWwABo
14,Gustavo Coronel: Diálogo e Intervención: los dos polos de un país sin Ecuador https://t.co/ac6QjbM4Ua
15,A punta de pistola y sin creer en nadie robaron a personas en el Big Low de Valencia (Video + Patria bonita) https://t.co/qkBfxe364c
16,Carlos Tablante: Lilian y Mitzy    https://t.co/mDNar4XKsJ
17,La Unesco evalúa el estado de conservación de Machu Picchu https://t.co/sBdgoaldm7
18,Pdvsa efectuó el pago de intereses de bonos del último semestre con vencimiento en 2022 https://t.co/xoVNjsHz3a
19,Rafaela Requesens: No nos vamos a doblegar ante este gobierno https://t.co/8NIOIQQJCd
20,“El solitario” de Valencia robó 14 celulares en oficina de encomiendas (Video) https://t.co/7G9hNRBzMZ https://t.co/IMa3jLfNGy
